code,name,stratum,cpi_score,basel_score,wgi_rule_of_law_pct,wgi_control_corruption_pct,secrecy_score,organized_crime_score,terrorism_score,instability_score,comprehensive_sanctions,fatf_blacklist,fatf_greylist,eu_high_risk,incsr_primary_concern,missing
J0041,Jurisdiction 0041,designed_low,80.2,2.38,79.3,87.6,10.0,28.1,11.7,23.0,0,0,0,0,0,
J0063,Jurisdiction 0063,designed_low,79.5,3.04,91.3,74.3,33.1,20.9,16.9,22.7,0,0,0,0,0,
J0478,Jurisdiction 0478,designed_high,20.5,8.18,8.7,25.9,82.4,63.8,47.1,85.1,0,0,0,0,0,
J0329,Jurisdiction 0329,designed_medium,55.9,4.23,61.7,45.0,53.9,35.6,26.8,39.5,0,0,0,0,0,
J0420,Jurisdiction 0420,designed_high,18.2,8.27,11.7,11.0,74.9,65.6,49.7,53.1,0,0,0,0,0,
J0274,Jurisdiction 0274,designed_medium,55.4,4.94,47.0,44.5,41.7,37.7,15.1,34.3,0,0,0,0,0,
J0119,Jurisdiction 0119,designed_low,82.1,2.03,90.7,74.5,25.7,26.9,11.9,26.6,0,0,0,0,0,
J0069,Jurisdiction 0069,designed_low,85.2,1.65,79.3,74.7,14.6,8.0,11.6,24.1,0,0,0,0,0,
J0151,Jurisdiction 0151,designed_low,87.5,3.04,80.0,88.8,16.5,27.6,4.7,15.9,0,0,0,0,0,
J0340,Jurisdiction 0340,designed_medium,57.9,4.65,59.9,50.6,39.4,50.2,26.9,37.0,0,0,0,0,0,
J0596,Jurisdiction 0596,hard_critical,40.3,4.15,50.6,41.5,49.8,55.9,21.3,48.1,1,0,0,0,0,
J0036,Jurisdiction 0036,designed_low,88.9,3.08,94.5,89.8,31.2,5.6,15.3,13.3,0,0,0,0,0,
J0471,Jurisdiction 0471,designed_high,22.9,6.05,11.2,30.8,85.0,60.4,50.7,73.4,0,0,0,0,0,
J0320,Jurisdiction 0320,designed_medium,57.1,5.45,45.0,59.9,41.9,49.2,28.4,34.4,0,0,0,0,0,
J0394,Jurisdiction 0394,designed_high,32.7,7.17,25.1,32.9,63.5,68.5,49.1,51.7,0,0,0,0,0,
J0025,Jurisdiction 0025,designed_low,78.7,3.32,86.2,83.9,28.0,6.4,12.5,17.6,0,0,0,0,0,
J0120,Jurisdiction 0120,designed_low,88.2,1.99,91.4,80.8,27.5,12.8,7.6,11.4,0,0,0,0,0,
J0253,Jurisdiction 0253,designed_medium,56.6,4.46,60.8,45.6,56.0,37.2,27.8,28.5,0,0,0,0,0,
J0587,Jurisdiction 0587,hard_critical,46.8,4.6,54.4,52.6,51.7,45.6,33.5,44.4,0,1,0,0,0,terrorism
J0265,Jurisdiction 0265,designed_medium,54.7,4.68,61.4,47.6,45.0,41.1,16.1,34.3,0,0,0,0,0,
J0012,Jurisdiction 0012,designed_low,75.8,3.12,89.8,88.9,18.2,12.3,4.8,5.1,0,0,0,0,0,instability
J0552,Jurisdiction 0552,hard_high,49.9,4.87,64.4,53.6,40.4,28.7,12.4,27.1,0,0,1,0,0,
J0464,Jurisdiction 0464,designed_high,19.0,8.08,20.4,23.0,73.1,65.6,54.7,56.3,0,0,0,0,0,
J0350,Jurisdiction 0350,designed_medium,49.0,4.71,46.4,57.3,53.8,34.5,17.5,43.0,0,0,0,0,0,
J0080,Jurisdiction 0080,designed_low,85.8,2.45,74.5,77.0,26.2,26.5,12.6,5.5,0,0,0,0,0,terrorism
J0561,Jurisdiction 0561,hard_critical,50.3,4.2,49.9,48.1,46.0,56.9,35.7,46.6,0,1,0,0,0,instability
J0004,Jurisdiction 0004,designed_low,79.5,1.63,74.9,82.1,13.0,28.1,3.4,12.3,0,0,0,0,0,
J0489,Jurisdiction 0489,hard_high,47.9,4.53,50.2,51.8,51.1,46.7,12.9,38.6,0,0,0,1,0,
J0132,Jurisdiction 0132,designed_low,80.5,2.54,80.1,80.9,33.2,9.3,19.1,16.5,0,0,0,0,0,
J0221,Jurisdiction 0221,designed_medium,57.1,5.12,49.7,52.8,50.1,39.8,19.4,30.6,0,0,0,0,0,
J0087,Jurisdiction 0087,designed_low,76.5,3.24,80.1,87.5,20.0,17.1,10.5,16.4,0,0,0,0,0,
J0334,Jurisdiction 0334,designed_medium,46.6,5.4,46.8,43.8,41.7,37.4,26.5,41.0,0,0,0,0,0,instability
J0196,Jurisdiction 0196,designed_medium,48.8,4.32,47.7,54.7,43.7,40.3,30.8,42.3,0,0,0,0,0,
J0062,Jurisdiction 0062,designed_low,87.6,2.44,76.5,93.6,28.8,13.7,9.7,14.3,0,0,0,0,0,
J0204,Jurisdiction 0204,designed_medium,48.6,5.58,53.8,50.9,54.9,49.3,22.4,31.5,0,0,0,0,0,
J0460,Jurisdiction 0460,designed_high,27.1,6.92,31.3,16.5,84.6,73.4,62.8,68.0,0,0,0,0,0,
J0140,Jurisdiction 0140,designed_low,81.2,2.95,91.6,93.6,12.0,21.2,2.7,22.7,0,0,0,0,0,
J0301,Jurisdiction 0301,designed_medium,50.7,5.1,48.9,43.4,44.7,43.0,30.2,31.2,0,0,0,0,0,
J0283,Jurisdiction 0283,designed_medium,54.6,4.97,44.9,53.3,51.1,47.6,21.7,29.6,0,0,0,0,0,
J0094,Jurisdiction 0094,designed_low,87.6,3.06,82.0,79.0,27.2,24.0,17.7,5.9,0,0,0,0,0,
J0164,Jurisdiction 0164,designed_low,89.9,1.43,80.2,74.3,17.9,12.4,10.0,22.9,0,0,0,0,0,
J0463,Jurisdiction 0463,designed_high,36.7,8.33,30.6,21.8,85.6,79.7,40.1,58.0,0,0,0,0,0,
J0019,Jurisdiction 0019,designed_low,75.1,1.57,88.0,76.7,13.2,28.4,12.3,16.8,0,0,0,0,0,terrorism
J0393,Jurisdiction 0393,designed_high,25.5,7.19,28.3,27.2,62.8,66.2,63.4,80.1,0,0,0,0,0,
J0158,Jurisdiction 0158,designed_low,80.2,2.13,87.3,93.6,16.1,5.4,16.2,13.6,0,0,0,0,0,
J0097,Jurisdiction 0097,designed_low,76.9,1.42,86.8,80.4,26.4,17.4,12.5,10.8,0,0,0,0,0,
J0366,Jurisdiction 0366,designed_high,27.3,7.64,12.6,25.2,60.1,62.4,57.4,56.1,0,0,0,0,0,
J0269,Jurisdiction 0269,designed_medium,51.8,4.15,50.9,52.1,49.8,41.4,22.9,40.8,0,0,0,0,0,
J0574,Jurisdiction 0574,hard_critical,56.1,4.72,56.9,55.0,45.2,52.0,26.7,41.0,0,1,0,0,0,
J0513,Jurisdiction 0513,hard_high,50.4,3.78,53.9,46.6,31.8,39.4,10.9,32.0,0,0,0,0,1,
J0266,Jurisdiction 0266,designed_medium,46.8,5.01,58.4,58.5,48.6,46.1,19.6,32.3,0,0,0,0,0,
J0312,Jurisdiction 0312,designed_medium,51.2,5.15,48.5,50.3,52.5,36.5,14.2,42.9,0,0,0,0,0,
J0524,Jurisdiction 0524,hard_high,58.5,4.96,63.8,60.3,30.6,39.1,15.0,27.0,0,0,0,1,0,
J0538,Jurisdiction 0538,hard_high,63.9,4.97,47.8,50.5,44.3,42.2,13.0,38.7,0,0,0,0,1,
J0377,Jurisdiction 0377,designed_high,20.1,7.49,20.8,32.8,80.3,57.0,56.0,82.6,0,0,0,0,0,
J0535,Jurisdiction 0535,hard_high,53.9,4.67,57.2,54.3,43.9,29.0,15.2,32.0,0,0,1,0,0,
J0185,Jurisdiction 0185,designed_medium,44.1,3.99,46.4,46.8,44.6,41.3,14.8,28.9,0,0,0,0,0,
J0434,Jurisdiction 0434,designed_high,19.5,6.65,33.3,15.3,70.6,77.1,42.4,78.5,0,0,0,0,0,
J0400,Jurisdiction 0400,designed_high,30.7,7.09,27.4,30.2,67.4,77.9,59.1,68.8,0,0,0,0,0,
J0180,Jurisdiction 0180,designed_low,81.3,2.65,77.3,81.1,21.1,13.5,4.6,26.5,0,0,0,0,0,
J0353,Jurisdiction 0353,designed_medium,56.0,5.04,49.1,49.0,40.9,44.3,31.4,43.4,0,0,0,0,0,
J0311,Jurisdiction 0311,designed_medium,45.5,4.25,50.4,51.2,50.2,38.7,31.8,28.6,0,0,0,0,0,
J0262,Jurisdiction 0262,designed_medium,58.9,5.13,53.3,51.9,44.0,41.7,22.3,42.4,0,0,0,0,0,
J0385,Jurisdiction 0385,designed_high,31.1,7.61,19.3,27.4,72.5,72.9,53.1,55.4,0,0,0,0,0,
J0323,Jurisdiction 0323,designed_medium,47.7,4.19,53.5,42.0,54.5,37.6,16.3,40.9,0,0,0,0,0,
J0357,Jurisdiction 0357,designed_medium,57.5,4.47,55.7,53.0,43.4,35.9,15.1,45.8,0,0,0,0,0,
J0257,Jurisdiction 0257,designed_medium,45.7,4.25,56.0,45.0,49.0,44.1,25.6,39.6,0,0,0,0,0,
J0154,Jurisdiction 0154,designed_low,76.2,2.69,83.4,72.1,11.9,11.4,17.0,18.7,0,0,0,0,0,
J0115,Jurisdiction 0115,designed_low,79.7,2.89,86.4,72.3,16.4,8.2,9.6,7.8,0,0,0,0,0,
J0531,Jurisdiction 0531,hard_high,59.0,3.57,53.7,53.5,33.6,32.5,17.4,43.4,0,0,0,0,1,
J0285,Jurisdiction 0285,designed_medium,55.1,4.66,48.1,43.6,52.5,35.9,20.6,33.4,0,0,0,0,0,
J0280,Jurisdiction 0280,designed_medium,51.9,4.38,49.1,51.9,40.4,49.3,28.2,44.1,0,0,0,0,0,
J0150,Jurisdiction 0150,designed_low,89.5,2.96,90.8,75.0,16.0,21.0,17.7,18.9,0,0,0,0,0,
J0560,Jurisdiction 0560,hard_critical,42.6,4.4,44.3,47.7,57.0,51.4,24.0,37.5,1,0,0,0,0,
J0373,Jurisdiction 0373,designed_high,33.9,6.13,11.0,20.7,63.2,61.8,55.3,57.4,0,0,0,0,0,
J0048,Jurisdiction 0048,designed_low,74.1,2.8,90.2,74.3,20.2,9.4,19.2,17.9,0,0,0,0,0,
J0240,Jurisdiction 0240,designed_medium,57.9,5.4,52.6,42.8,39.3,50.7,30.2,38.1,0,0,0,0,0,
J0363,Jurisdiction 0363,designed_high,23.8,8.05,16.6,16.3,67.6,78.0,46.9,81.2,0,0,0,0,0,
J0515,Jurisdiction 0515,hard_high,50.8,3.73,54.6,57.7,42.7,30.3,17.4,31.3,0,0,0,0,1,
J0335,Jurisdiction 0335,designed_medium,48.2,4.31,48.3,42.9,48.3,49.1,16.8,34.5,0,0,0,0,0,
J0148,Jurisdiction 0148,designed_low,84.8,1.57,83.3,78.3,28.0,16.2,11.6,12.7,0,0,0,0,0,terrorism
J0456,Jurisdiction 0456,designed_high,20.0,6.19,15.7,32.7,80.9,80.8,61.5,79.3,0,0,0,0,0,
J0011,Jurisdiction 0011,designed_low,86.7,2.01,75.3,80.4,33.9,18.2,19.5,26.5,0,0,0,0,0,
J0030,Jurisdiction 0030,designed_low,87.3,2.69,86.8,93.7,25.7,5.2,16.7,12.5,0,0,0,0,0,
J0482,Jurisdiction 0482,hard_high,61.3,4.8,57.9,59.9,42.1,31.8,25.9,32.7,0,0,0,1,0,
J0160,Jurisdiction 0160,designed_low,81.4,2.67,87.3,89.9,11.5,24.4,10.2,12.3,0,0,0,0,0,
J0040,Jurisdiction 0040,designed_low,76.9,3.31,79.6,74.4,20.4,23.2,7.6,20.2,0,0,0,0,0,
J0360,Jurisdiction 0360,designed_medium,50.2,3.86,56.7,52.3,41.4,47.1,18.0,37.6,0,0,0,0,0,
J0445,Jurisdiction 0445,designed_high,19.6,7.56,22.1,16.2,60.1,75.1,30.3,68.8,0,0,0,0,0,
J0475,Jurisdiction 0475,designed_high,29.2,8.51,18.8,14.4,60.6,74.6,53.8,83.9,0,0,0,0,0,
J0138,Jurisdiction 0138,designed_low,74.6,1.88,80.0,86.2,33.5,7.3,12.7,14.6,0,0,0,0,0,
J0289,Jurisdiction 0289,designed_medium,48.6,5.49,44.5,57.2,53.8,37.7,24.9,31.4,0,0,0,0,0,
J0336,Jurisdiction 0336,designed_medium,48.7,4.99,54.8,45.6,38.5,37.1,19.3,29.5,0,0,0,0,0,
J0222,Jurisdiction 0222,designed_medium,47.5,4.34,45.1,59.1,53.8,50.4,25.3,35.7,0,0,0,0,0,
J0444,Jurisdiction 0444,designed_high,24.7,8.09,31.6,30.1,75.0,66.5,39.2,77.6,0,0,0,0,0,
J0073,Jurisdiction 0073,designed_low,87.2,1.96,75.6,85.8,11.3,8.7,12.1,12.6,0,0,0,0,0,
J0436,Jurisdiction 0436,designed_high,33.5,7.72,18.8,17.9,62.9,73.2,47.2,71.3,0,0,0,0,0,
J0546,Jurisdiction 0546,hard_high,61.2,4.89,47.3,53.4,32.7,45.2,15.9,32.3,0,0,0,1,0,
J0308,Jurisdiction 0308,designed_medium,49.0,5.24,56.6,55.2,43.7,38.9,15.3,31.6,0,0,0,0,0,
J0225,Jurisdiction 0225,designed_medium,46.1,4.24,47.7,53.6,54.6,49.2,15.7,41.0,0,0,0,0,0,
J0096,Jurisdiction 0096,designed_low,78.8,1.07,80.8,73.2,18.6,15.8,6.4,15.3,0,0,0,0,0,
J0326,Jurisdiction 0326,designed_medium,59.4,4.97,47.1,59.4,50.5,50.7,28.2,32.0,0,0,0,0,0,
J0270,Jurisdiction 0270,designed_medium,46.7,4.82,58.3,46.0,38.6,38.0,19.2,42.1,0,0,0,0,0,
J0067,Jurisdiction 0067,designed_low,75.4,2.73,84.3,88.7,26.6,21.1,10.8,24.8,0,0,0,0,0,
J0581,Jurisdiction 0581,hard_critical,57.9,5.07,38.2,46.0,59.9,49.5,25.3,41.8,1,0,0,0,0,
J0079,Jurisdiction 0079,designed_low,78.6,1.3,88.5,87.4,32.6,17.5,10.9,7.0,0,0,0,0,0,
J0207,Jurisdiction 0207,designed_medium,48.0,4.27,48.2,55.6,55.2,39.4,27.0,28.2,0,0,0,0,0,
J0530,Jurisdiction 0530,hard_high,57.3,3.66,50.6,57.7,37.9,41.8,18.6,34.0,0,0,0,0,1,
J0078,Jurisdiction 0078,designed_low,82.7,2.55,93.1,90.2,11.7,9.1,7.5,23.7,0,0,0,0,0,
J0230,Jurisdiction 0230,designed_medium,50.6,4.81,48.0,44.6,42.7,50.8,24.4,35.5,0,0,0,0,0,
J0203,Jurisdiction 0203,designed_medium,51.9,5.49,61.3,58.7,53.8,34.2,24.2,29.9,0,0,0,0,0,
J0544,Jurisdiction 0544,hard_high,62.8,3.8,64.4,45.0,39.2,31.6,22.1,36.2,0,0,1,0,0,
J0136,Jurisdiction 0136,designed_low,81.4,2.35,86.2,87.0,31.2,21.1,19.8,13.1,0,0,0,0,0,
J0497,Jurisdiction 0497,hard_high,50.8,4.64,59.2,54.8,38.5,38.5,19.0,35.0,0,0,0,1,0,
J0345,Jurisdiction 0345,designed_medium,53.0,3.98,49.1,51.6,44.2,41.4,20.9,36.7,0,0,0,0,0,
J0341,Jurisdiction 0341,designed_medium,56.8,5.02,55.2,44.2,51.6,37.1,31.7,45.5,0,0,0,0,0,
J0458,Jurisdiction 0458,designed_high,18.5,6.3,9.8,25.2,85.8,73.3,38.3,61.4,0,0,0,0,0,
J0084,Jurisdiction 0084,designed_low,87.2,1.0,92.3,82.2,11.3,18.0,13.2,17.5,0,0,0,0,0,
J0407,Jurisdiction 0407,designed_high,34.1,6.01,20.1,32.5,61.0,80.1,51.5,77.9,0,0,0,0,0,
J0419,Jurisdiction 0419,designed_high,34.1,6.77,24.5,17.2,83.1,81.1,61.2,73.3,0,0,0,0,0,
J0364,Jurisdiction 0364,designed_high,35.9,6.19,31.1,22.0,82.6,65.3,40.7,51.9,0,0,0,0,0,
J0149,Jurisdiction 0149,designed_low,81.5,3.0,81.7,92.8,33.6,16.5,7.1,14.5,0,0,0,0,0,
J0106,Jurisdiction 0106,designed_low,82.9,1.22,82.3,77.8,13.0,14.2,15.5,11.6,0,0,0,0,0,
J0086,Jurisdiction 0086,designed_low,85.4,1.75,74.3,81.0,15.4,26.0,4.0,28.7,0,0,0,0,0,
J0201,Jurisdiction 0201,designed_medium,51.6,4.16,61.4,47.8,49.6,50.3,15.6,38.3,0,0,0,0,0,
J0339,Jurisdiction 0339,designed_medium,49.5,4.77,61.5,52.6,48.0,49.1,28.7,35.5,0,0,0,0,0,
J0430,Jurisdiction 0430,designed_high,34.1,8.1,24.0,14.0,73.4,67.0,36.4,84.2,0,0,0,0,0,organized_crime
J0200,Jurisdiction 0200,designed_medium,55.5,3.98,57.9,42.1,47.9,50.7,21.3,44.8,0,0,0,0,0,
J0234,Jurisdiction 0234,designed_medium,47.7,5.07,44.2,51.1,44.7,45.1,26.0,39.1,0,0,0,0,0,
J0307,Jurisdiction 0307,designed_medium,45.5,4.04,58.8,43.3,48.2,41.8,31.4,32.3,0,0,0,0,0,
J0354,Jurisdiction 0354,designed_medium,54.8,4.28,51.4,42.4,52.0,47.8,14.2,44.4,0,0,0,0,0,
J0365,Jurisdiction 0365,designed_high,20.6,6.52,18.6,23.7,83.6,67.4,41.4,75.8,0,0,0,0,0,
J0166,Jurisdiction 0166,designed_low,84.2,1.87,90.8,86.9,32.9,8.6,12.9,24.5,0,0,0,0,0,instability
J0189,Jurisdiction 0189,designed_medium,59.8,5.13,49.4,48.1,52.9,43.6,26.8,33.4,0,0,0,0,0,
J0455,Jurisdiction 0455,designed_high,24.6,8.5,15.2,24.6,65.1,80.1,50.7,59.4,0,0,0,0,0,
J0358,Jurisdiction 0358,designed_medium,57.8,4.27,56.8,58.1,43.4,36.7,27.8,44.2,0,0,0,0,0,
J0089,Jurisdiction 0089,designed_low,78.3,1.01,89.2,90.4,23.9,21.5,17.6,16.2,0,0,0,0,0,
J0411,Jurisdiction 0411,designed_high,30.2,8.39,14.3,11.0,83.0,65.3,58.7,54.1,0,0,0,0,0,
J0034,Jurisdiction 0034,designed_low,82.7,3.0,86.2,75.3,13.1,12.7,18.2,24.9,0,0,0,0,0,
J0439,Jurisdiction 0439,designed_high,22.1,7.58,20.3,21.6,65.7,66.1,35.1,71.0,0,0,0,0,0,
J0557,Jurisdiction 0557,hard_critical,55.1,5.83,47.8,36.5,50.6,48.0,22.2,54.3,1,0,0,0,0,
J0290,Jurisdiction 0290,designed_medium,54.3,5.21,58.3,46.3,44.9,38.3,25.5,29.3,0,0,0,0,0,
J0076,Jurisdiction 0076,designed_low,76.5,1.42,75.6,72.1,20.8,19.8,7.2,10.8,0,0,0,0,0,
J0006,Jurisdiction 0006,designed_low,80.1,2.09,91.5,75.6,18.5,21.8,14.6,22.1,0,0,0,0,0,
J0161,Jurisdiction 0161,designed_low,88.2,1.76,80.5,80.8,29.6,16.8,2.7,21.2,0,0,0,0,0,organized_crime
J0564,Jurisdiction 0564,hard_critical,54.6,4.93,40.9,53.9,60.2,47.4,28.0,49.1,0,1,0,0,0,
J0053,Jurisdiction 0053,designed_low,75.0,3.0,82.2,88.9,32.7,5.5,17.9,19.4,0,0,0,0,0,
J0039,Jurisdiction 0039,designed_low,89.5,1.67,87.5,80.8,33.5,18.4,18.9,7.9,0,0,0,0,0,
