set_id,chain,native_tx_count_truth,token_transfer_count_truth,value_in_truth,value_out_truth,self_transfer_count_truth,counterparty_count_truth,native_tx_count_engine,token_transfer_count_engine,value_in_engine,value_out_engine,self_transfer_count_engine,counterparty_count_engine,duplicates_planted,duplicates_removed,exact
btc-0065,btc,172,0,26317844367,20422873601,0,14,172,0,26317844367,20422873601,0,14,0,0,True
btc-0067,btc,126,0,13971060554,14849884054,0,29,126,0,13971060554,14849884054,0,29,5,5,True
btc-0069,btc,95,0,10565215526,10204577581,0,24,95,0,10565215526,10204577581,0,24,3,3,True
btc-0072,btc,85,0,13803827480,7378337885,0,8,85,0,13803827480,7378337885,0,8,0,0,True
btc-0075,btc,201,0,26779222275,22829338645,1,30,201,0,26779222275,22829338645,1,30,0,0,True
btc-0076,btc,188,0,24688911785,26448513165,2,16,188,0,24688911785,26448513165,2,16,0,0,True
btc-0077,btc,84,0,11253175259,13065218844,0,7,84,0,11253175259,13065218844,0,7,3,3,True
btc-0084,btc,70,0,8795776795,8475615144,0,9,70,0,8795776795,8475615144,0,9,2,2,True
btc-0089,btc,115,0,14451097288,15843873540,0,10,115,0,14451097288,15843873540,0,10,4,4,True
btc-0091,btc,131,0,20573481902,12125715304,0,11,131,0,20573481902,12125715304,0,11,0,0,True
btc-0092,btc,101,0,14898775533,12701955344,0,9,101,0,14898775533,12701955344,0,9,4,4,True
btc-0093,btc,104,0,12165196662,12648280071,0,7,104,0,12165196662,12648280071,0,7,0,0,True
btc-0099,btc,177,0,25406776420,23238053883,0,15,177,0,25406776420,23238053883,0,15,0,0,True
btc-0100,btc,191,0,27316287458,19874401178,1,14,191,0,27316287458,19874401178,1,14,7,7,True
btc-0105,btc,208,0,26065865440,28523324519,0,16,208,0,26065865440,28523324519,0,16,0,0,True
btc-0107,btc,161,0,21904192960,22292179196,0,14,161,0,21904192960,22292179196,0,14,0,0,True
btc-0109,btc,155,0,18942205306,22036809538,0,13,155,0,18942205306,22036809538,0,13,0,0,True
btc-0112,btc,188,0,24712016035,24718168198,1,14,188,0,24712016035,24718168198,1,14,0,0,True
btc-0114,btc,165,0,22149842683,20479703507,0,14,165,0,22149842683,20479703507,0,14,0,0,True
btc-0118,btc,106,0,15229851808,12717786386,0,9,106,0,15229851808,12717786386,0,9,4,4,True
btc-0120,btc,173,0,24596891467,19235582627,0,15,173,0,24596891467,19235582627,0,15,6,6,True
btc-0125,btc,170,0,19081940389,21018703964,0,31,170,0,19081940389,21018703964,0,31,0,0,True
btc-0127,btc,131,0,16534521752,15370407014,0,24,131,0,16534521752,15370407014,0,24,0,0,True
btc-0131,btc,183,0,25707596865,21633307694,2,16,183,0,25707596865,21633307694,2,16,0,0,True
btc-0132,btc,173,0,26693827991,18592870777,1,24,173,0,26693827991,18592870777,1,24,6,6,True
btc-0138,btc,180,0,27180885566,21224014855,0,15,180,0,27180885566,21224014855,0,15,7,7,True
btc-0144,btc,193,0,23778535628,19274305103,0,31,193,0,23778535628,19274305103,0,31,0,0,True
btc-0153,btc,127,0,17319358874,16387662745,0,11,127,0,17319358874,16387662745,0,11,0,0,True
btc-0157,btc,107,0,14703848659,11544130274,0,27,107,0,14703848659,11544130274,0,27,4,4,True
btc-0159,btc,89,0,13396519572,9871518333,0,8,89,0,13396519572,9871518333,0,8,0,0,True
btc-0160,btc,67,0,9742965754,8285991102,0,9,67,0,9742965754,8285991102,0,9,0,0,True
btc-0164,btc,112,0,16471556205,13045961678,0,10,112,0,16471556205,13045961678,0,10,0,0,True
btc-0166,btc,138,0,16403204432,14256661959,2,29,138,0,16403204432,14256661959,2,29,0,0,True
btc-0168,btc,125,0,18997728255,13597693465,0,9,125,0,18997728255,13597693465,0,9,0,0,True
btc-0170,btc,113,0,15314978020,13227454712,0,10,113,0,15314978020,13227454712,0,10,0,0,True
btc-0175,btc,90,0,11044842457,15215146368,0,8,90,0,11044842457,15215146368,0,8,3,3,True
btc-0179,btc,150,0,21030989228,19840863059,0,11,150,0,21030989228,19840863059,0,11,0,0,True
btc-0180,btc,180,0,24294557863,22509885926,0,15,180,0,24294557863,22509885926,0,15,0,0,True
btc-0181,btc,161,0,21516126289,20150632940,0,14,161,0,21516126289,20150632940,0,14,0,0,True
btc-0182,btc,96,0,14475595155,12785633397,0,9,96,0,14475595155,12785633397,0,9,0,0,True
btc-0188,btc,119,0,15577195347,14174498837,0,10,119,0,15577195347,14174498837,0,10,4,4,True
btc-0189,btc,131,0,17797749358,18800364833,1,11,131,0,17797749358,18800364833,1,11,5,5,True
btc-0195,btc,138,0,20320073302,15956356165,0,10,138,0,20320073302,15956356165,0,10,0,0,True
btc-0198,btc,65,0,9216323178,8879985840,0,6,65,0,9216323178,8879985840,0,6,0,0,True
btc-0202,btc,156,0,20274841327,18825383294,0,24,156,0,20274841327,18825383294,0,24,6,6,True
btc-0203,btc,188,0,26046464264,25583636645,2,26,188,0,26046464264,25583636645,2,26,7,7,True
btc-0207,btc,162,0,24325496239,15795872291,2,28,162,0,24325496239,15795872291,2,28,6,6,True
btc-0212,btc,168,0,22397274311,22041398526,0,14,168,0,22397274311,22041398526,0,14,0,0,True
btc-0213,btc,166,0,25231026148,18335539959,0,14,166,0,25231026148,18335539959,0,14,0,0,True
btc-0214,btc,162,0,22327362318,20224895732,0,14,162,0,22327362318,20224895732,0,14,0,0,True
btc-0218,btc,112,0,18948487057,13080848469,0,10,112,0,18948487057,13080848469,0,10,4,4,True
btc-0219,btc,87,0,15336070564,11116553136,0,8,87,0,15336070564,11116553136,0,8,0,0,True
btc-0222,btc,114,0,13021242022,11981846908,0,24,114,0,13021242022,11981846908,0,24,4,4,True
btc-0226,btc,143,0,24602971491,13094299483,0,12,143,0,24602971491,13094299483,0,12,0,0,True
btc-0229,btc,130,0,15375612881,15224510693,0,24,130,0,15375612881,15224510693,0,24,0,0,True
btc-0232,btc,219,0,33851021406,28671152628,2,16,219,0,33851021406,28671152628,2,16,0,0,True
btc-0233,btc,75,0,9157704770,9645295438,0,7,75,0,9157704770,9645295438,0,7,0,0,True
btc-0234,btc,140,0,17849627670,16995842846,0,23,140,0,17849627670,16995842846,0,23,0,0,True
btc-0235,btc,195,0,25400605885,30594050624,0,15,195,0,25400605885,30594050624,0,15,0,0,True
btc-0237,btc,171,0,25450294942,18044976461,2,28,171,0,25450294942,18044976461,2,28,0,0,True
btc-0238,btc,144,0,19931941153,16687101150,0,12,144,0,19931941153,16687101150,0,12,0,0,True
btc-0240,btc,171,0,23569603504,20689398092,0,29,171,0,23569603504,20689398092,0,29,6,6,True
btc-0247,btc,93,0,13990528108,10716705605,0,8,93,0,13990528108,10716705605,0,8,3,3,True
btc-0249,btc,146,0,24040427031,16829883956,0,13,146,0,24040427031,16829883956,0,13,0,0,True
btc-0250,btc,123,0,19562899829,13836896518,2,11,123,0,19562899829,13836896518,2,11,0,0,True
btc-0260,btc,154,0,21468714702,19334096279,0,12,154,0,21468714702,19334096279,0,12,6,6,True
btc-0262,btc,125,0,18149637746,16730726275,0,11,125,0,18149637746,16730726275,0,11,0,0,True
btc-0263,btc,133,0,21794048102,14103441680,0,12,133,0,21794048102,14103441680,0,12,0,0,True
btc-0264,btc,144,0,20852931344,16013580080,1,12,144,0,20852931344,16013580080,1,12,5,5,True
btc-0268,btc,105,0,14102344891,13634136667,0,9,105,0,14102344891,13634136667,0,9,4,4,True
btc-0270,btc,178,0,21095605722,19602714122,0,34,178,0,21095605722,19602714122,0,34,7,7,True
btc-0274,btc,182,0,27769552266,22781320553,0,16,182,0,27769552266,22781320553,0,16,0,0,True
btc-0278,btc,121,0,16012186376,11525906848,0,28,121,0,16012186376,11525906848,0,28,0,0,True
btc-0279,btc,95,0,14537234942,10013669709,0,8,95,0,14537234942,10013669709,0,8,3,3,True
btc-0280,btc,81,0,8616135650,7713288209,0,21,81,0,8616135650,7713288209,0,21,3,3,True
btc-0282,btc,187,0,27458020321,18633688698,0,34,187,0,27458020321,18633688698,0,34,0,0,True
btc-0285,btc,155,0,18302410594,18420203672,0,23,155,0,18302410594,18420203672,0,23,0,0,True
btc-0290,btc,70,0,8355974827,8042441454,0,7,70,0,8355974827,8042441454,0,7,0,0,True
btc-0296,btc,165,0,27681592222,19067522153,2,13,165,0,27681592222,19067522153,2,13,6,6,True
btc-0297,btc,215,0,30831016424,27876138845,0,16,215,0,30831016424,27876138845,0,16,0,0,True
btc-0301,btc,130,0,18941835839,14316497403,0,11,130,0,18941835839,14316497403,0,11,0,0,True
btc-0304,btc,186,0,24100899811,27179539124,0,27,186,0,24100899811,27179539124,0,27,0,0,True
btc-0309,btc,169,0,28471811789,17837165680,0,15,169,0,28471811789,17837165680,0,15,0,0,True
btc-0312,btc,130,0,13547766788,15240004541,0,29,130,0,13547766788,15240004541,0,29,0,0,True
btc-0315,btc,129,0,17687374197,15684067956,0,11,129,0,17687374197,15684067956,0,11,0,0,True
btc-0317,btc,151,0,22404132027,18054144890,0,11,151,0,22404132027,18054144890,0,11,6,6,True
btc-0322,btc,196,0,26765403937,24173036119,0,33,196,0,26765403937,24173036119,0,33,7,7,True
btc-0324,btc,132,0,19926083547,12161347932,0,11,132,0,19926083547,12161347932,0,11,0,0,True
btc-0326,btc,153,0,21118319102,18863334078,0,12,153,0,21118319102,18863334078,0,12,6,6,True
btc-0333,btc,82,0,13941007396,9016582799,0,7,82,0,13941007396,9016582799,0,7,0,0,True
btc-0339,btc,144,0,18756777766,16946165441,0,27,144,0,18756777766,16946165441,0,27,0,0,True
btc-0344,btc,121,0,14275227326,17938637490,0,11,121,0,14275227326,17938637490,0,11,0,0,True
btc-0345,btc,68,0,10480839184,8826248655,0,6,68,0,10480839184,8826248655,0,6,0,0,True
btc-0347,btc,162,0,27625198535,15195250280,0,14,162,0,27625198535,15195250280,0,14,0,0,True
btc-0348,btc,144,0,18976814733,17105558926,2,12,144,0,18976814733,17105558926,2,12,0,0,True
btc-0352,btc,121,0,19067280467,13708328728,1,10,121,0,19067280467,13708328728,1,10,0,0,True
btc-0354,btc,176,0,24418675680,21475442960,0,15,176,0,24418675680,21475442960,0,15,0,0,True
btc-0363,btc,178,0,27604412735,16886015001,2,15,178,0,27604412735,16886015001,2,15,0,0,True
btc-0365,btc,160,0,21604151707,20537778178,0,14,160,0,21604151707,20537778178,0,14,0,0,True
btc-0366,btc,176,0,20918478903,21218481927,0,33,176,0,20918478903,21218481927,0,33,7,7,True
btc-0369,btc,88,0,9103237494,9726690399,0,22,88,0,9103237494,9726690399,0,22,0,0,True
btc-0370,btc,81,0,7790787464,6516014639,0,27,81,0,7790787464,6516014639,0,27,3,3,True
btc-0375,btc,124,0,18386032373,8427296063,0,25,124,0,18386032373,8427296063,0,25,4,4,True
btc-0377,btc,93,0,10730125017,15693947624,0,9,93,0,10730125017,15693947624,0,9,0,0,True
btc-0380,btc,149,0,21236381622,19532734024,0,13,149,0,21236381622,19532734024,0,13,0,0,True
btc-0382,btc,73,0,9065028192,10110090172,0,9,73,0,9065028192,10110090172,0,9,2,2,True
btc-0383,btc,173,0,25678600983,22168046279,0,15,173,0,25678600983,22168046279,0,15,0,0,True
btc-0385,btc,140,0,17239822796,21123923518,0,12,140,0,17239822796,21123923518,0,12,0,0,True
btc-0387,btc,200,0,29990953200,23408532352,0,15,200,0,29990953200,23408532352,0,15,7,7,True
btc-0393,btc,104,0,12767338606,15030978464,1,9,104,0,12767338606,15030978464,1,9,0,0,True
btc-0394,btc,171,0,25413014193,17852566383,0,15,171,0,25413014193,17852566383,0,15,0,0,True
btc-0396,btc,71,0,9157725113,7099655039,0,6,71,0,9157725113,7099655039,0,6,2,2,True
btc-0397,btc,129,0,19729456239,16573996130,0,11,129,0,19729456239,16573996130,0,11,0,0,True
btc-0398,btc,122,0,16177883889,13664553187,0,24,122,0,16177883889,13664553187,0,24,0,0,True
evm-0000,evm,75,51,112658288448655812711,83860160000164183961,0,7,75,51,112658288448655812711,83860160000164183961,0,7,0,0,True
evm-0002,evm,79,54,86206301939705064750,105872336111277144030,0,8,79,54,86206301939705064750,105872336111277144030,0,8,0,0,True
evm-0003,evm,107,50,131876698748855886016,131914028109402527252,0,8,107,50,131876698748855886016,131914028109402527252,0,8,1,1,True
evm-0004,evm,72,48,58803888815893736731,82187734046479797032,3,8,72,48,58803888815893736731,82187734046479797032,3,8,0,0,True
evm-0005,evm,43,28,42294135540302168545,60289328407101830220,1,4,43,28,42294135540302168545,60289328407101830220,1,4,0,0,True
evm-0007,evm,135,73,158339983411224404858,144805104041587416896,0,10,135,73,158339983411224404858,144805104041587416896,0,10,1,1,True
evm-0008,evm,124,65,129476991047307755606,170879182621366186891,0,9,124,65,129476991047307755606,170879182621366186891,0,9,1,1,True
evm-0009,evm,97,66,130306585176948153301,115846378171783793231,0,9,97,66,130306585176948153301,115846378171783793231,0,9,0,0,True
evm-0010,evm,89,73,128410138354300042814,79790266518190206328,3,23,89,73,128410138354300042814,79790266518190206328,3,23,0,0,True
evm-0011,evm,106,71,165940783988165356185,147698925600532792131,0,9,106,71,165940783988165356185,147698925600532792131,0,9,0,0,True
evm-0012,evm,50,36,73901584495188206264,56614305204623565011,0,7,50,36,73901584495188206264,56614305204623565011,0,7,0,0,True
evm-0013,evm,46,34,43977343887343462604,76820950544685938990,0,4,46,34,43977343887343462604,76820950544685938990,0,4,0,0,True
evm-0016,evm,85,60,119340949132563068175,105648307462043619295,0,8,85,60,119340949132563068175,105648307462043619295,0,8,0,0,True
evm-0019,evm,77,53,78711284038514182075,88986515456618321878,0,7,77,53,78711284038514182075,88986515456618321878,0,7,0,0,True
evm-0020,evm,63,44,72705528461672383872,74493182790680003713,0,6,63,44,72705528461672383872,74493182790680003713,0,6,0,0,True
evm-0022,evm,100,69,124831205950679553583,126595524829814391950,0,9,100,69,124831205950679553583,126595524829814391950,0,9,0,0,True
evm-0023,evm,51,47,69399873886406289026,60699197093228871007,0,16,51,47,69399873886406289026,60699197093228871007,0,16,0,0,True
evm-0025,evm,100,86,113495378225508548348,155568727304856105484,0,27,100,86,113495378225508548348,155568727304856105484,0,27,0,0,True
evm-0026,evm,101,68,118085642736338473375,124517706706018285016,2,9,101,68,118085642736338473375,124517706706018285016,2,9,1,1,True
evm-0029,evm,92,62,117639635712553263171,127512295754735965047,0,8,92,62,117639635712553263171,127512295754735965047,0,8,0,0,True
evm-0032,evm,140,72,184296810470970354080,160309407450917022803,0,10,140,72,184296810470970354080,160309407450917022803,0,10,0,0,True
evm-0034,evm,125,62,140071245872262328896,163362007004803823085,0,9,125,62,140071245872262328896,163362007004803823085,0,9,1,1,True
evm-0035,evm,84,58,87819095281020882477,121780376243280755006,0,7,84,58,87819095281020882477,121780376243280755006,0,7,0,0,True
evm-0036,evm,70,48,70333297983937114424,100001352398689895460,1,6,70,48,70333297983937114424,100001352398689895460,1,6,0,0,True
evm-0039,evm,49,36,58382676561093663126,64441870026435248372,0,5,49,36,58382676561093663126,64441870026435248372,0,5,0,0,True
evm-0040,evm,99,48,121515625464379778733,123632359499506892142,0,7,99,48,121515625464379778733,123632359499506892142,0,7,0,0,True
evm-0042,evm,94,83,122110911542886436240,134244841658816201099,1,29,94,83,122110911542886436240,134244841658816201099,1,29,0,0,True
evm-0043,evm,48,32,68554579092467196122,64638136466202555340,2,6,48,32,68554579092467196122,64638136466202555340,2,6,0,0,True
evm-0044,evm,134,73,221319508553126252128,124318001352774384557,0,10,134,73,221319508553126252128,124318001352774384557,0,10,0,0,True
evm-0045,evm,90,61,118248721119594664491,109959928660794326543,0,8,90,61,118248721119594664491,109959928660794326543,0,8,0,0,True
evm-0046,evm,75,50,94798225435345095720,102100999643977278211,0,7,75,50,94798225435345095720,102100999643977278211,0,7,0,0,True
evm-0047,evm,45,31,53332967133087908616,53702623451658868533,0,6,45,31,53332967133087908616,53702623451658868533,0,6,0,0,True
evm-0048,evm,76,29,81866272305754419670,94317268654495871709,2,5,76,29,81866272305754419670,94317268654495871709,2,5,0,0,True
evm-0049,evm,73,49,84416752806418777395,95366909274046415791,1,6,73,49,84416752806418777395,95366909274046415791,1,6,0,0,True
evm-0050,evm,78,69,93249574794985068187,96288128158073392258,0,23,78,69,93249574794985068187,96288128158073392258,0,23,0,0,True
evm-0052,evm,49,51,48416692699742114587,44335073334036138909,3,22,49,51,48416692699742114587,44335073334036138909,3,22,0,0,True
evm-0053,evm,123,58,175352077765710833173,138894353175724321512,0,9,123,58,175352077765710833173,138894353175724321512,0,9,0,0,True
evm-0054,evm,112,76,132089610551371588056,153656217532104112619,0,10,112,76,132089610551371588056,153656217532104112619,0,10,0,0,True
evm-0055,evm,52,37,74540926672482964582,57645776558432234748,0,8,52,37,74540926672482964582,57645776558432234748,0,8,0,0,True
evm-0056,evm,72,50,96514700164396687439,72701553039100954697,0,6,72,50,96514700164396687439,72701553039100954697,0,6,0,0,True
evm-0058,evm,52,59,72206783492357059659,64221975714746110073,0,28,52,59,72206783492357059659,64221975714746110073,0,28,0,0,True
evm-0060,evm,48,33,80243464358740748311,41199921432411549184,1,6,48,33,80243464358740748311,41199921432411549184,1,6,0,0,True
evm-0061,evm,54,36,49591608581409810731,78821605063309046719,0,8,54,36,49591608581409810731,78821605063309046719,0,8,0,0,True
evm-0064,evm,68,45,86852353469709984745,81595173100945243409,1,6,68,45,86852353469709984745,81595173100945243409,1,6,0,0,True
evm-0066,evm,143,76,142983738390719976068,212402413025075518093,0,11,143,76,142983738390719976068,212402413025075518093,0,11,1,1,True
evm-0068,evm,134,70,165681357049457487151,144568732374856401558,2,10,134,70,165681357049457487151,144568732374856401558,2,10,1,1,True
evm-0070,evm,76,32,113392273739397801896,94522134446792540275,0,6,76,32,113392273739397801896,94522134446792540275,0,6,0,0,True
evm-0071,evm,68,44,79196250063818421028,110445489258780965745,3,6,68,44,79196250063818421028,110445489258780965745,3,6,0,0,True
evm-0073,evm,99,44,112710865801631402995,132850895803025230711,3,8,99,44,112710865801631402995,132850895803025230711,3,8,0,0,True
evm-0074,evm,84,69,115189886313865896459,102678224999716904169,0,19,84,69,115189886313865896459,102678224999716904169,0,19,0,0,True
evm-0078,evm,45,28,51268894039828355911,53441972122202849195,3,6,45,28,51268894039828355911,53441972122202849195,3,6,0,0,True
evm-0079,evm,51,37,48563156563513456430,87300099442554019797,0,5,51,37,48563156563513456430,87300099442554019797,0,5,0,0,True
evm-0080,evm,107,50,124369348282095135901,148173149992875226911,0,8,107,50,124369348282095135901,148173149992875226911,0,8,1,1,True
evm-0081,evm,89,60,109039047206428110522,101317531250148829804,0,8,89,60,109039047206428110522,101317531250148829804,0,8,0,0,True
evm-0082,evm,62,43,94348029505467160777,67829497945728447847,0,6,62,43,94348029505467160777,67829497945728447847,0,6,0,0,True
evm-0083,evm,61,66,65198923089186312643,76686435397701162553,0,29,61,66,65198923089186312643,76686435397701162553,0,29,0,0,True
evm-0085,evm,101,68,145573651229174553437,101828996645589315530,0,9,101,68,145573651229174553437,101828996645589315530,0,9,1,1,True
evm-0086,evm,95,64,130770696742601211015,103119184002717671453,0,8,95,64,130770696742601211015,103119184002717671453,0,8,0,0,True
evm-0087,evm,103,43,105199663843492505704,160481903947665926492,0,7,103,43,105199663843492505704,160481903947665926492,0,7,0,0,True
evm-0088,evm,64,57,80310075234874013214,63077705615670777933,1,20,64,57,80310075234874013214,63077705615670777933,1,20,0,0,True
evm-0090,evm,82,57,125048987270859623225,91922271194858313983,0,7,82,57,125048987270859623225,91922271194858313983,0,7,0,0,True
evm-0094,evm,105,92,144766691170617211534,98962057478081272949,0,30,105,92,144766691170617211534,98962057478081272949,0,30,1,1,True
evm-0095,evm,50,35,63106553839657672111,60783354295476087445,0,6,50,35,63106553839657672111,60783354295476087445,0,6,0,0,True
evm-0096,evm,88,57,98525895210027436656,133642305275967834442,3,8,88,57,98525895210027436656,133642305275967834442,3,8,0,0,True
evm-0097,evm,101,68,111968433366895101325,137477624423784103060,0,9,101,68,111968433366895101325,137477624423784103060,0,9,0,0,True
evm-0098,evm,51,55,76222361790647034961,61692982110694150518,1,24,51,55,76222361790647034961,61692982110694150518,1,24,0,0,True
evm-0101,evm,78,54,112610096075145558732,75333835236607887740,0,7,78,54,112610096075145558732,75333835236607887740,0,7,0,0,True
evm-0102,evm,45,29,44155999621280201106,55439317018963277386,2,5,45,29,44155999621280201106,55439317018963277386,2,5,0,0,True
evm-0103,evm,52,35,63547535939006196481,75480588211679658059,1,5,52,35,63547535939006196481,75480588211679658059,1,5,0,0,True
evm-0104,evm,75,53,86405616569119627686,100805398498354412359,0,7,75,53,86405616569119627686,100805398498354412359,0,7,0,0,True
evm-0106,evm,69,46,98819803538203950471,77357665847951388766,0,6,69,46,98819803538203950471,77357665847951388766,0,6,0,0,True
evm-0108,evm,45,30,47659910757617159687,68630261960043605948,0,4,45,30,47659910757617159687,68630261960043605948,0,4,0,0,True
evm-0110,evm,57,37,57407092892208610064,75867551134252349399,3,8,57,37,57407092892208610064,75867551134252349399,3,8,0,0,True
evm-0111,evm,109,74,133938964505508088873,128692176062431042753,0,10,109,74,133938964505508088873,128692176062431042753,0,10,1,1,True
evm-0113,evm,95,39,117093520477929998785,131104740589599739137,0,6,95,39,117093520477929998785,131104740589599739137,0,6,0,0,True
evm-0115,evm,53,36,58071563842252632851,91479634935148332900,0,6,53,36,58071563842252632851,91479634935148332900,0,6,0,0,True
evm-0116,evm,92,59,100151433907267637114,131458603968182548759,0,26,92,59,100151433907267637114,131458603968182548759,0,26,0,0,True
evm-0117,evm,82,55,95635895569784925243,127549317505946072776,0,7,82,55,95635895569784925243,127549317505946072776,0,7,0,0,True
evm-0119,evm,87,58,89889337598532401648,126282654744155277605,0,8,87,58,89889337598532401648,126282654744155277605,0,8,0,0,True
evm-0121,evm,82,56,99510440495000643922,102217440728512049969,2,8,82,56,99510440495000643922,102217440728512049969,2,8,0,0,True
evm-0122,evm,86,58,124671559963592810831,82156967391999462231,0,8,86,58,124671559963592810831,82156967391999462231,0,8,0,0,True
evm-0123,evm,41,51,50751479116342989619,43453790654426960683,0,25,41,51,50751479116342989619,43453790654426960683,0,25,0,0,True
evm-0124,evm,110,95,151976386228516515164,143923567682916301087,3,31,110,95,151976386228516515164,143923567682916301087,3,31,0,0,True
evm-0126,evm,104,70,127172324069503153027,129466604539971260529,0,9,104,70,127172324069503153027,129466604539971260529,0,9,0,0,True
evm-0128,evm,123,66,171359371881801023750,155351953045979317123,0,10,123,66,171359371881801023750,155351953045979317123,0,10,0,0,True
evm-0129,evm,110,73,145978628822538124693,120853496261515252151,3,9,110,73,145978628822538124693,120853496261515252151,3,9,0,0,True
evm-0130,evm,67,44,69996155719791025205,82260006110748978729,3,7,67,44,69996155719791025205,82260006110748978729,3,7,0,0,True
evm-0133,evm,56,40,56262287433288229976,69372890861885332305,0,5,56,40,56262287433288229976,69372890861885332305,0,5,0,0,True
evm-0134,evm,77,54,119153108846253225516,103622359410575657284,0,7,77,54,119153108846253225516,103622359410575657284,0,7,0,0,True
evm-0135,evm,81,55,77562381835176021310,115795274983185321654,3,8,81,55,77562381835176021310,115795274983185321654,3,8,0,0,True
evm-0136,evm,45,30,70762891797071669134,51522995512762304014,1,4,45,30,70762891797071669134,51522995512762304014,1,4,0,0,True
evm-0137,evm,109,96,126868177138937902183,114390221573493589661,0,31,109,96,126868177138937902183,114390221573493589661,0,31,1,1,True
evm-0139,evm,54,37,57777098742924815445,58392227445441555170,0,8,54,37,57777098742924815445,58392227445441555170,0,8,0,0,True
evm-0140,evm,43,29,51595011903487544406,39785862871504156603,0,4,43,29,51595011903487544406,39785862871504156603,0,4,0,0,True
evm-0141,evm,102,73,142926399144069865695,117867731327303921854,0,28,102,73,142926399144069865695,117867731327303921854,0,28,1,1,True
evm-0142,evm,106,72,149799206654377446591,106644401163997153965,0,9,106,72,149799206654377446591,106644401163997153965,0,9,1,1,True
evm-0143,evm,79,52,107425522869687494765,80166592195268704199,1,8,79,52,107425522869687494765,80166592195268704199,1,8,0,0,True
evm-0145,evm,46,33,50162703704075838812,63421018274538661831,0,6,46,33,50162703704075838812,63421018274538661831,0,6,0,0,True
evm-0146,evm,82,53,133993363703114765956,75267722867392255294,3,7,82,53,133993363703114765956,75267722867392255294,3,7,0,0,True
evm-0147,evm,106,72,164394233036846022677,111589747971872215989,0,9,106,72,164394233036846022677,111589747971872215989,0,9,0,0,True
evm-0148,evm,77,53,86699779963808494774,87407361648748627749,0,8,77,53,86699779963808494774,87407361648748627749,0,8,0,0,True
evm-0149,evm,128,63,173864248091930323660,160787253010341183248,0,9,128,63,173864248091930323660,160787253010341183248,0,9,0,0,True
evm-0150,evm,66,42,73591969632007671097,76774013960844165862,3,7,66,42,73591969632007671097,76774013960844165862,3,7,0,0,True
evm-0151,evm,94,66,131983240168487579888,103996637527002725105,0,8,94,66,131983240168487579888,103996637527002725105,0,8,0,0,True
evm-0152,evm,86,71,108348176873780503834,98029457155992500288,0,20,86,71,108348176873780503834,98029457155992500288,0,20,0,0,True
evm-0154,evm,56,39,71363479946670158687,83297609249282312968,0,6,56,39,71363479946670158687,83297609249282312968,0,6,0,0,True
evm-0155,evm,75,53,81415126418044425128,93993546760162491925,0,7,75,53,81415126418044425128,93993546760162491925,0,7,0,0,True
evm-0156,evm,76,65,88733346957182766679,103107278129037295305,0,19,76,65,88733346957182766679,103107278129037295305,0,19,0,0,True
