alert_id,customer_id,window_days,total_in,total_out,txn_count,near_threshold_count,distinct_in_cp,distinct_out_cp,passthrough_ratio,same_day,high_risk_geo_fraction,label,category
TMALR-0000040,CUST-000089,30,19028.58,4955.51,21,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000041,CUST-000087,30,42395.27,34687.04,37,0,1,1,0.74,1,0.0,0,below_typology
TMALR-0000042,CUST-000099,30,141197.89,48884.16,40,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000043,CUST-000086,30,5339694.62,4368841.05,107,0,1,1,0.76,1,0.0,0,below_typology
TMALR-0000044,CUST-000082,30,46691.55,10567.49,33,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000045,CUST-000116,30,13849.31,5273.12,5,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000046,CUST-000046,30,69818.47,0.0,17,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000047,CUST-000103,30,103570.56,18541.67,90,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000048,CUST-000096,30,226322.95,72239.53,87,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000049,CUST-000102,30,74343.56,64325.77,61,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000050,CUST-000047,30,263991.95,112224.54,210,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000051,CUST-000013,30,93401.27,42239.92,58,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000052,CUST-000078,30,11859.35,10992.58,25,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000053,CUST-000052,30,66937.54,63391.54,28,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000054,CUST-000030,30,16144.8,13714.31,14,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000055,CUST-000066,30,230556.81,153704.54,104,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000056,CUST-000062,30,28738.36,8024.82,12,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000057,CUST-000056,30,17103.92,5501.32,6,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000058,CUST-000082,30,32186.23,0.0,23,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000059,CUST-000011,30,47458.55,31639.03,106,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000060,CUST-000100,30,72493.99,0.0,9,8,1,1,0.0,0,0.0,1,
TMALR-0000061,CUST-000027,30,151761.8,114533.88,60,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000062,CUST-000035,30,39545.74,0.0,12,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000063,CUST-000110,30,7215.9,7088.36,27,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000064,CUST-000022,30,10678.95,9169.38,21,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000065,CUST-000057,30,24674.78,13055.89,14,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000066,CUST-000005,30,125455.08,19831.52,29,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000067,CUST-000003,30,220716.94,147144.63,44,0,4,1,0.0,0,0.0,0,below_typology
TMALR-0000068,CUST-000009,30,583557.2,344425.77,98,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000069,CUST-000074,30,185479.25,151755.75,108,0,1,1,0.7,1,0.0,0,below_typology
TMALR-0000070,CUST-000012,30,2543903.48,2081375.57,86,0,1,1,0.72,1,0.0,0,below_typology
TMALR-0000071,CUST-000026,30,1823295.59,1215530.39,781,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000072,CUST-000093,30,555769.29,329172.5,68,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000073,CUST-000118,30,13007.39,11657.36,5,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000074,CUST-000043,30,141541.84,94361.23,107,0,1,1,0.0,0,0.76,0,documented_context
TMALR-0000075,CUST-000015,30,141102.72,44051.48,84,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000076,CUST-000006,30,46111.05,16187.37,45,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000077,CUST-000084,30,1133662.33,369504.87,133,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000078,CUST-000035,30,11892.27,4131.45,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000079,CUST-000076,30,331996.51,221331.0,283,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000080,CUST-000002,30,6746.37,4497.58,25,0,1,1,0.0,0,0.66,0,documented_context
TMALR-0000081,CUST-000111,30,114553.61,49750.82,30,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000082,CUST-000011,30,124719.42,88093.05,70,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000083,CUST-000092,30,11945.17,3321.74,20,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000084,CUST-000096,30,169565.24,71915.12,62,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000085,CUST-000056,30,20365.64,16662.8,11,0,1,1,0.62,1,0.0,0,below_typology
TMALR-0000086,CUST-000086,30,2725216.91,1415945.18,53,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000087,CUST-000007,30,8338807.36,5098577.08,171,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000088,CUST-000041,30,4264.96,2304.45,20,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000089,CUST-000029,30,304118.66,202745.77,56,0,3,2,0.0,0,0.0,0,below_typology
TMALR-0000090,CUST-000002,30,4269.24,3888.15,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000091,CUST-000081,30,9606172.6,0.0,220,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000092,CUST-000058,30,2003789.94,304968.79,413,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000093,CUST-000075,30,4047.69,3682.89,18,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000094,CUST-000099,30,16208.83,8607.76,10,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000095,CUST-000044,30,112276.73,14835.33,78,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000096,CUST-000032,30,5536.02,2596.58,23,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000097,CUST-000098,30,19718.36,11130.82,19,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000098,CUST-000070,30,25288.0,16858.67,75,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000099,CUST-000056,30,7321.47,4251.01,7,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000100,CUST-000064,30,16431.86,9302.32,5,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000101,CUST-000082,30,14506.19,4666.98,16,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000102,CUST-000070,30,54897.39,0.0,32,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000103,CUST-000024,30,2670961.12,0.0,273,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000104,CUST-000109,30,9979.77,6653.18,61,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000105,CUST-000056,30,15188.91,7921.92,9,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000106,CUST-000049,30,9902366.02,5683397.7,623,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000107,CUST-000008,30,18508.78,12339.19,16,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000108,CUST-000075,30,12170.89,8113.92,20,0,1,1,0.0,0,0.75,0,documented_context
TMALR-0000109,CUST-000083,30,20735.89,12839.75,15,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000110,CUST-000048,30,575601.58,386069.7,199,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000111,CUST-000087,30,99758.74,85879.95,70,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000112,CUST-000039,30,95575.41,73807.11,96,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000113,CUST-000017,30,11297.14,7891.61,23,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000114,CUST-000094,30,1130528.24,753685.49,146,0,3,2,0.0,0,0.0,0,below_typology
TMALR-0000115,CUST-000088,30,108793.62,37687.73,31,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000116,CUST-000086,30,5267020.44,4309380.36,115,0,1,1,0.65,1,0.0,0,below_typology
TMALR-0000117,CUST-000068,30,21335.6,14223.73,32,0,3,2,0.0,0,0.0,0,below_typology
TMALR-0000118,CUST-000056,30,22675.25,15116.83,12,0,4,1,0.0,0,0.0,0,below_typology
TMALR-0000119,CUST-000018,30,35617.01,23744.67,32,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000120,CUST-000091,30,822495.92,156122.5,151,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000121,CUST-000115,30,211590.43,70788.42,43,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000122,CUST-000042,30,275586.33,183724.22,59,0,1,1,0.0,0,0.69,0,documented_context
TMALR-0000123,CUST-000010,30,318531.8,307936.64,234,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000124,CUST-000101,30,244453.34,162968.89,36,0,3,2,0.0,0,0.0,0,below_typology
TMALR-0000125,CUST-000010,30,251571.13,193926.87,131,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000126,CUST-000054,30,33029.12,22019.41,34,0,3,1,0.0,0,0.0,0,below_typology
TMALR-0000127,CUST-000079,30,1942519.32,1295012.88,225,0,3,1,0.0,0,0.0,0,below_typology
TMALR-0000128,CUST-000000,30,82834.76,61938.41,39,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000129,CUST-000046,30,13652.77,7101.87,9,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000130,CUST-000049,30,5141110.69,3427407.13,239,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000131,CUST-000008,30,9357.36,3641.1,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000132,CUST-000041,30,6915.94,4610.62,87,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000133,CUST-000081,30,4711455.67,3140970.45,754,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000134,CUST-000099,30,22276.98,21309.77,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000135,CUST-000040,30,61651.14,25654.45,35,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000136,CUST-000096,30,144254.63,101983.74,95,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000137,CUST-000036,30,2569407.92,1712938.62,950,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000138,CUST-000049,30,8612220.3,6372671.65,659,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000139,CUST-000036,30,4767053.71,3178035.81,661,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000140,CUST-000066,30,203937.87,135958.58,113,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000141,CUST-000091,30,217886.41,145257.61,95,0,4,1,0.0,0,0.0,0,below_typology
TMALR-0000142,CUST-000078,30,110667.55,70807.58,87,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000143,CUST-000081,30,2676024.47,1416220.32,195,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000144,CUST-000108,30,185831.26,67209.16,46,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000145,CUST-000043,30,98496.45,65664.3,140,0,1,1,0.0,0,0.56,0,documented_context
TMALR-0000146,CUST-000047,30,393136.62,321657.24,346,0,1,1,0.63,1,0.0,0,below_typology
TMALR-0000147,CUST-000035,30,6617.15,5773.71,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000148,CUST-000071,30,10494.57,3832.7,8,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000149,CUST-000088,30,324487.52,0.0,65,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000150,CUST-000115,30,379150.97,310214.43,116,0,1,1,0.78,1,0.0,0,below_typology
TMALR-0000151,CUST-000090,30,18378.67,12252.44,12,0,1,1,0.0,0,0.86,0,documented_context
TMALR-0000152,CUST-000087,30,37696.3,25130.87,86,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000153,CUST-000017,30,13443.46,7296.01,17,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000154,CUST-000070,30,38978.01,0.0,34,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000155,CUST-000059,30,305604.3,203736.2,136,0,1,1,0.0,0,0.84,0,documented_context
TMALR-0000156,CUST-000082,30,40247.32,18393.75,48,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000157,CUST-000068,30,21830.64,14553.76,20,0,1,1,0.0,0,0.89,0,documented_context
TMALR-0000158,CUST-000007,30,15064391.54,6235836.63,185,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000159,CUST-000028,30,38440.48,5423.24,30,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000160,CUST-000081,30,3420788.48,2453470.6,180,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000161,CUST-000082,30,8940.09,2485.21,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000162,CUST-000075,30,7937.33,5291.55,31,0,1,1,0.0,0,0.56,0,documented_context
TMALR-0000163,CUST-000082,30,10507.23,7627.55,11,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000164,CUST-000003,30,270211.5,180141.0,47,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000165,CUST-000045,30,13568.9,9045.93,19,0,1,1,0.0,0,0.57,0,documented_context
TMALR-0000166,CUST-000026,30,2038183.92,1667605.02,254,0,1,1,0.66,1,0.0,0,below_typology
TMALR-0000167,CUST-000051,30,7064.5,4494.63,13,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000168,CUST-000034,30,33583.68,0.0,17,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000169,CUST-000053,30,28288.38,5144.56,27,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000170,CUST-000040,30,15399.98,12599.98,11,0,1,1,0.69,1,0.0,0,below_typology
TMALR-0000171,CUST-000011,30,101173.26,0.0,37,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000172,CUST-000036,30,2611650.52,803602.81,209,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000173,CUST-000108,30,266058.28,177372.18,94,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000174,CUST-000072,30,38312.65,25541.77,31,0,3,2,0.0,0,0.0,0,below_typology
TMALR-0000175,CUST-000036,30,4845529.16,3230352.77,851,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000176,CUST-000047,30,244440.76,161792.18,262,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000177,CUST-000065,30,9908.77,9441.41,15,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000178,CUST-000064,30,39919.27,26612.84,15,0,1,1,0.0,0,0.73,0,documented_context
TMALR-0000179,CUST-000020,30,47466.77,31644.51,25,0,4,2,0.0,0,0.0,0,below_typology
TMALR-0000180,CUST-000104,30,839235.07,560955.86,82,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000181,CUST-000115,30,230328.64,95725.11,40,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000182,CUST-000100,30,146498.65,53803.11,22,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000183,CUST-000067,30,330712.08,220474.72,113,0,3,1,0.0,0,0.0,0,below_typology
TMALR-0000184,CUST-000089,30,65638.32,0.0,9,7,1,1,0.0,0,0.0,1,
TMALR-0000185,CUST-000064,30,35002.98,10094.87,10,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000186,CUST-000017,30,17431.76,8653.3,25,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000187,CUST-000022,30,15365.93,7917.96,23,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000188,CUST-000087,30,127506.82,36525.94,67,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000189,CUST-000071,30,13288.6,3694.82,10,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000190,CUST-000087,30,39640.94,26427.29,80,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000191,CUST-000036,30,3099807.53,2066538.35,827,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000192,CUST-000044,30,27300.86,9523.28,19,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000193,CUST-000042,30,274471.26,182980.84,71,0,1,1,0.0,0,0.81,0,documented_context
TMALR-0000194,CUST-000036,30,5195349.75,3463566.5,682,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000195,CUST-000031,30,478535.71,0.0,115,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000196,CUST-000091,30,370404.97,0.0,94,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000197,CUST-000020,30,152091.1,21923.62,60,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000198,CUST-000036,30,2064948.49,911470.71,244,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000199,CUST-000068,30,43906.15,0.0,30,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000200,CUST-000003,30,313924.07,209282.71,122,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000201,CUST-000118,30,57564.16,54213.85,23,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000202,CUST-000042,30,723157.44,84262.52,126,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000203,CUST-000108,30,715661.08,459220.15,267,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000204,CUST-000078,30,25169.99,16779.99,25,0,1,1,0.0,0,0.81,0,documented_context
TMALR-0000205,CUST-000096,30,241042.56,197216.64,123,0,1,1,0.77,1,0.0,0,below_typology
TMALR-0000206,CUST-000011,30,81739.13,0.0,31,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000207,CUST-000033,30,16270.37,9391.84,8,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000208,CUST-000073,30,34651.86,28351.52,20,0,1,1,0.64,1,0.0,0,below_typology
TMALR-0000209,CUST-000020,30,43748.84,35794.5,24,0,1,1,0.75,1,0.0,0,below_typology
TMALR-0000210,CUST-000037,30,845656.86,0.0,463,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000211,CUST-000075,30,8221.89,5481.26,27,0,1,1,0.0,0,0.87,0,documented_context
TMALR-0000212,CUST-000108,30,196590.58,131060.39,90,0,1,1,0.0,0,0.81,0,documented_context
TMALR-0000213,CUST-000057,30,19452.21,12513.41,26,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000214,CUST-000063,30,19672.78,13115.19,12,0,1,1,0.0,0,0.61,0,documented_context
TMALR-0000215,CUST-000087,30,60525.16,0.0,32,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000216,CUST-000065,30,25053.6,20498.4,36,0,1,1,0.69,1,0.0,0,below_typology
TMALR-0000217,CUST-000045,30,12964.04,8642.69,18,0,1,1,0.0,0,0.63,0,documented_context
TMALR-0000218,CUST-000089,30,52251.49,0.0,35,2,1,1,0.0,0,0.0,0,below_typology
TMALR-0000219,CUST-000052,30,84033.13,0.0,12,9,1,1,0.0,0,0.0,1,
TMALR-0000220,CUST-000117,30,53826.11,44039.55,22,0,1,1,0.78,1,0.0,0,below_typology
TMALR-0000221,CUST-000110,30,10805.6,8715.23,23,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000222,CUST-000027,30,307796.11,205197.41,99,0,1,1,0.0,0,0.89,0,documented_context
TMALR-0000223,CUST-000053,30,8752.32,5834.88,43,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000224,CUST-000119,30,264257.11,97914.07,23,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000225,CUST-000119,30,745275.44,0.0,44,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000226,CUST-000076,30,224166.13,70145.02,50,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000227,CUST-000069,30,280621.07,0.0,96,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000228,CUST-000104,30,1912201.1,929812.91,122,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000229,CUST-000028,30,8758.44,5838.96,8,0,1,1,0.0,0,0.78,0,documented_context
TMALR-0000230,CUST-000007,30,2560252.17,1218717.06,79,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000231,CUST-000068,30,19421.54,12947.7,38,0,1,1,0.0,0,0.88,0,documented_context
TMALR-0000232,CUST-000040,30,18358.98,12239.32,33,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000233,CUST-000030,30,33144.18,27117.96,22,0,1,1,0.63,1,0.0,0,below_typology
TMALR-0000234,CUST-000052,30,162950.66,81285.06,31,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000235,CUST-000082,30,6620.92,3806.78,13,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000236,CUST-000006,30,8855.15,5903.43,30,0,1,1,0.0,0,0.76,0,documented_context
TMALR-0000237,CUST-000097,30,74623.48,31763.38,30,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000238,CUST-000038,30,60027.52,58572.65,77,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000239,CUST-000096,30,125287.82,93449.33,80,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000240,CUST-000070,30,56625.09,35714.94,58,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000241,CUST-000046,30,19958.68,10785.62,6,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000242,CUST-000107,30,241297.94,160865.3,83,0,4,1,0.0,0,0.0,0,below_typology
TMALR-0000243,CUST-000018,30,10465.27,5248.5,8,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000244,CUST-000025,30,114854.7,72219.72,76,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000245,CUST-000081,30,4182297.57,2788198.38,709,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000246,CUST-000057,30,24769.28,16512.85,73,0,1,1,0.0,0,0.0,0,documented_context
TMALR-0000247,CUST-000117,30,97256.45,0.0,28,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000248,CUST-000104,30,1782642.89,661672.0,108,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000249,CUST-000090,30,11141.63,8556.6,7,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000250,CUST-000119,30,404065.92,269377.28,55,0,3,1,0.0,0,0.0,0,below_typology
TMALR-0000251,CUST-000002,30,11555.98,7703.98,19,0,3,2,0.0,0,0.0,0,below_typology
TMALR-0000252,CUST-000013,30,107556.89,43984.16,44,0,1,1,0.0,0,0.0,0,ambiguous_residual
TMALR-0000253,CUST-000045,30,7620.16,4688.9,17,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000254,CUST-000089,30,56589.1,0.0,32,1,1,1,0.0,0,0.0,0,below_typology
TMALR-0000255,CUST-000070,30,13835.15,6186.07,21,0,1,1,0.0,0,0.0,0,within_profile
TMALR-0000256,CUST-000078,30,39529.69,26353.13,35,0,1,1,0.0,0,0.85,0,documented_context
