product_id,stratum,hard_type,client_segment,target_jurisdictions,delivery_channel,asset_settlement_type,novelty_to_firm,third_party_dependency,data_privacy_surface,cash_intensity,anonymity_features,cross_border_reach,model_ai_reliance,involves_custody,sanctions_exposed_asset,new_client_segment,new_geography,anonymity_enhanced_instrument,bearer_negotiable_feature
NPA-000042,designed_medium,,INSTITUTIONAL,TR,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.54,0.24,0,0.27,ASSISTIVE,0,0,0,0,0,0
NPA-000043,designed_medium,,INSTITUTIONAL,TR,ONLINE,PHYSICAL,ADJACENT,REGULATED,0.28,0.3,0,0.42,ASSISTIVE,0,0,0,0,0,0
NPA-000044,designed_low,,RETAIL,US,BRANCH,FIAT,EXISTING,NONE,0.01,0.04,0,0.1,NONE,0,0,0,0,0,0
NPA-000045,hard_high,segment_geo_combo,RETAIL,SG,ONLINE,FIAT,ADJACENT,REGULATED,0.2,0.04,0,0.28,NONE,0,0,1,1,0,0
NPA-000046,designed_low,,INSTITUTIONAL,CA,ONLINE,FIAT,EXISTING,NONE,0.11,0.12,0,0.13,NONE,0,0,0,0,0,0
NPA-000047,prohibited,bearer_feature,HNW,GB,ONLINE,SECURITIES,ADJACENT,NONE,0.37,0.14,0,0.1,NONE,0,0,0,0,0,1
NPA-000048,designed_low,,INSTITUTIONAL,NZ,BRANCH,SECURITIES,EXISTING,NONE,0.18,0.04,0,0.07,NONE,0,0,0,0,0,0
NPA-000049,hard_high,segment_geo_combo,RETAIL,NL,BRANCH,FIAT,ADJACENT,NONE,0.35,0.02,0,0.16,ASSISTIVE,0,0,1,1,0,0
NPA-000050,designed_low,,INSTITUTIONAL,DE,ONLINE,FIAT,EXISTING,REGULATED,0.1,0.0,0,0.07,NONE,0,0,0,0,0,0
NPA-000051,designed_high,,UNREGULATED_ENTITY,TR,INTERMEDIATED,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.67,0.36,1,0.77,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000052,designed_high,,UNREGULATED_ENTITY,TR,API,DERIVATIVES,NEW_CAPABILITY,UNREGULATED,0.53,0.52,1,0.57,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000053,designed_low,,RETAIL,SG,BRANCH,SECURITIES,EXISTING,NONE,0.07,0.14,0,0.08,NONE,0,0,0,0,0,0
NPA-000054,designed_high,,UNREGULATED_ENTITY,AE,API,DERIVATIVES,NEW_CAPABILITY,UNREGULATED,0.76,0.66,0,0.8,ASSISTIVE,0,0,0,0,0,0
NPA-000055,designed_low,,RETAIL,JP,BRANCH,FIAT,EXISTING,NONE,0.12,0.02,0,0.19,NONE,0,0,0,0,0,0
NPA-000056,designed_medium,,INSTITUTIONAL,DE,ONLINE,DERIVATIVES,ADJACENT,REGULATED,0.29,0.16,0,0.31,ASSISTIVE,0,0,0,0,0,0
NPA-000057,designed_low,,RETAIL,AU,ONLINE,FIAT,EXISTING,NONE,0.17,0.05,0,0.14,NONE,0,0,0,0,0,0
NPA-000058,designed_high,,NON_RESIDENT,PA,INTERMEDIATED,DERIVATIVES,NEW_CAPABILITY,UNREGULATED,0.7,0.49,1,0.83,ASSISTIVE,0,0,0,0,0,0
NPA-000059,designed_low,,INSTITUTIONAL,SG,ONLINE,FIAT,EXISTING,NONE,0.04,0.08,0,0.13,NONE,0,0,0,0,0,0
NPA-000060,designed_medium,,HNW,HK,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.55,0.4,0,0.23,ASSISTIVE,0,0,0,0,0,0
NPA-000061,designed_low,,INSTITUTIONAL,JP,ONLINE,SECURITIES,EXISTING,NONE,0.01,0.13,0,0.04,NONE,0,0,0,0,0,0
NPA-000062,designed_low,,INSTITUTIONAL,GB,BRANCH,SECURITIES,EXISTING,REGULATED,0.0,0.14,0,0.02,NONE,0,0,0,0,0,0
NPA-000063,designed_high,,UNREGULATED_ENTITY,TR,INTERMEDIATED,DERIVATIVES,ADJACENT,UNREGULATED,0.82,0.39,0,0.66,ASSISTIVE,0,0,0,0,0,0
NPA-000064,designed_low,,INSTITUTIONAL,SG,ONLINE,SECURITIES,EXISTING,NONE,0.25,0.08,0,0.07,NONE,0,0,0,0,0,0
NPA-000065,designed_medium,,INSTITUTIONAL,DE,ONLINE,DERIVATIVES,ADJACENT,REGULATED,0.29,0.31,0,0.47,NONE,0,0,0,0,0,0
NPA-000066,designed_low,,INSTITUTIONAL,US,ONLINE,SECURITIES,EXISTING,NONE,0.21,0.04,0,0.07,NONE,0,0,0,0,0,0
NPA-000067,designed_low,,RETAIL,US,BRANCH,FIAT,EXISTING,REGULATED,0.07,0.14,0,0.13,NONE,0,0,0,0,0,0
NPA-000068,designed_high,,NON_RESIDENT,AE,INTERMEDIATED,DERIVATIVES,ADJACENT,UNREGULATED,0.68,0.42,0,0.6,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000069,designed_low,,RETAIL,DE,BRANCH,FIAT,EXISTING,REGULATED,0.16,0.01,0,0.03,NONE,0,0,0,0,0,0
NPA-000070,designed_medium,,INSTITUTIONAL,US,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.46,0.34,0,0.47,ASSISTIVE,0,0,0,0,0,0
NPA-000071,designed_medium,,INSTITUTIONAL,HK,ONLINE,PHYSICAL,ADJACENT,REGULATED,0.59,0.18,0,0.47,NONE,0,0,0,0,0,0
NPA-000072,designed_low,,RETAIL,NL,BRANCH,FIAT,EXISTING,REGULATED,0.02,0.0,0,0.09,NONE,0,0,0,0,0,0
NPA-000073,designed_medium,,INSTITUTIONAL,TR,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.55,0.17,0,0.28,ASSISTIVE,0,0,0,0,0,0
NPA-000074,designed_high,,NON_RESIDENT,HK,API,DIGITAL_ASSET,NEW_CAPABILITY,UNREGULATED,0.86,0.68,0,0.52,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000075,designed_medium,,HNW,DE,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.36,0.27,0,0.3,ASSISTIVE,0,0,0,0,0,0
NPA-000076,designed_low,,RETAIL,DE,ONLINE,SECURITIES,EXISTING,REGULATED,0.06,0.01,0,0.19,NONE,0,0,0,0,0,0
NPA-000077,designed_high,,NON_RESIDENT,PA,API,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.71,0.53,1,0.57,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000078,designed_medium,,INSTITUTIONAL,HK,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.36,0.18,0,0.26,ASSISTIVE,0,0,0,0,0,0
NPA-000079,designed_medium,,INSTITUTIONAL,JP,INTERMEDIATED,SECURITIES,ADJACENT,REGULATED,0.36,0.25,0,0.54,ASSISTIVE,0,0,0,0,0,0
NPA-000080,hard_high,sanctions_geo,RETAIL,FR|BY,ONLINE,SECURITIES,EXISTING,NONE,0.26,0.19,0,0.2,ASSISTIVE,0,0,0,0,0,0
NPA-000081,designed_low,,RETAIL,US,BRANCH,SECURITIES,EXISTING,NONE,0.01,0.09,0,0.16,NONE,0,0,0,0,0,0
NPA-000082,designed_medium,,INSTITUTIONAL,AE,ONLINE,SECURITIES,ADJACENT,REGULATED,0.6,0.42,0,0.36,NONE,0,0,0,0,0,0
NPA-000083,designed_medium,,RETAIL,PA,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.59,0.22,0,0.39,ASSISTIVE,0,0,0,0,0,0
NPA-000084,designed_low,,RETAIL,AU,BRANCH,SECURITIES,EXISTING,NONE,0.23,0.08,0,0.16,NONE,0,0,0,0,0,0
NPA-000085,designed_low,,INSTITUTIONAL,JP,ONLINE,SECURITIES,EXISTING,NONE,0.11,0.07,0,0.07,NONE,0,0,0,0,0,0
NPA-000086,designed_high,,UNREGULATED_ENTITY,HK,INTERMEDIATED,DIGITAL_ASSET,NEW_CAPABILITY,UNREGULATED,0.73,0.44,1,0.52,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000087,designed_medium,,INSTITUTIONAL,TR,ONLINE,SECURITIES,ADJACENT,REGULATED,0.43,0.33,0,0.5,ASSISTIVE,0,0,0,0,0,0
NPA-000088,designed_low,,INSTITUTIONAL,CA,ONLINE,FIAT,EXISTING,NONE,0.22,0.15,0,0.01,NONE,0,0,0,0,0,0
NPA-000089,designed_high,,UNREGULATED_ENTITY,PA,INTERMEDIATED,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.84,0.69,1,0.88,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000090,hard_high,segment_geo_combo,RETAIL,JP,BRANCH,FIAT,ADJACENT,NONE,0.37,0.13,0,0.04,NONE,0,0,1,1,0,0
NPA-000091,designed_low,,INSTITUTIONAL,CA,BRANCH,SECURITIES,EXISTING,NONE,0.07,0.06,0,0.03,NONE,0,0,0,0,0,0
NPA-000092,designed_medium,,HNW,JP,ONLINE,SECURITIES,ADJACENT,REGULATED,0.46,0.26,0,0.44,ASSISTIVE,0,0,0,0,0,0
NPA-000093,hard_high,sanctions_asset,RETAIL,NZ,ONLINE,SECURITIES,ADJACENT,REGULATED,0.33,0.27,0,0.19,ASSISTIVE,0,1,0,0,0,0
NPA-000094,designed_low,,INSTITUTIONAL,JP,BRANCH,SECURITIES,EXISTING,REGULATED,0.06,0.13,0,0.04,NONE,0,0,0,0,0,0
NPA-000095,designed_low,,INSTITUTIONAL,AU,BRANCH,SECURITIES,EXISTING,REGULATED,0.09,0.04,0,0.14,NONE,0,0,0,0,0,0
NPA-000096,designed_low,,INSTITUTIONAL,US,BRANCH,FIAT,EXISTING,REGULATED,0.19,0.12,0,0.18,NONE,0,0,0,0,0,0
NPA-000097,designed_high,,NON_RESIDENT,PA,API,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.77,0.64,0,0.75,ASSISTIVE,0,0,0,0,0,0
NPA-000098,designed_low,,INSTITUTIONAL,CA,ONLINE,SECURITIES,EXISTING,REGULATED,0.03,0.14,0,0.07,NONE,0,0,0,0,0,0
NPA-000099,designed_low,,RETAIL,NL,ONLINE,SECURITIES,EXISTING,REGULATED,0.13,0.04,0,0.03,NONE,0,0,0,0,0,0
NPA-000100,hard_high,da_custody_novelty,INSTITUTIONAL,US,ONLINE,DIGITAL_ASSET,NEW_CAPABILITY,NONE,0.07,0.29,0,0.34,ASSISTIVE,1,0,0,0,0,0
NPA-000101,designed_low,,INSTITUTIONAL,CA,BRANCH,FIAT,EXISTING,NONE,0.09,0.11,0,0.05,NONE,0,0,0,0,0,0
NPA-000102,designed_low,,INSTITUTIONAL,AU,ONLINE,FIAT,EXISTING,NONE,0.01,0.13,0,0.11,NONE,0,0,0,0,0,0
NPA-000103,hard_high,sanctions_geo,RETAIL,AU|RU,ONLINE,SECURITIES,ADJACENT,NONE,0.07,0.28,0,0.12,ASSISTIVE,0,0,0,0,0,0
NPA-000104,designed_low,,RETAIL,DE,BRANCH,SECURITIES,EXISTING,REGULATED,0.24,0.1,0,0.11,NONE,0,0,0,0,0,0
NPA-000105,designed_medium,,HNW,GB,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.39,0.44,0,0.21,ASSISTIVE,0,0,0,0,0,0
NPA-000106,designed_low,,INSTITUTIONAL,NZ,BRANCH,FIAT,EXISTING,REGULATED,0.09,0.14,0,0.13,NONE,0,0,0,0,0,0
NPA-000107,designed_low,,INSTITUTIONAL,NZ,BRANCH,SECURITIES,EXISTING,NONE,0.17,0.1,0,0.12,NONE,0,0,0,0,0,0
NPA-000108,designed_low,,INSTITUTIONAL,NZ,BRANCH,FIAT,EXISTING,NONE,0.21,0.08,0,0.12,NONE,0,0,0,0,0,0
NPA-000109,designed_high,,NON_RESIDENT,PA,API,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.84,0.41,0,0.72,ASSISTIVE,0,0,0,0,0,0
NPA-000110,designed_low,,RETAIL,NL,BRANCH,SECURITIES,EXISTING,NONE,0.15,0.0,0,0.05,NONE,0,0,0,0,0,0
NPA-000111,designed_low,,INSTITUTIONAL,FR,BRANCH,FIAT,EXISTING,NONE,0.11,0.05,0,0.12,NONE,0,0,0,0,0,0
NPA-000112,designed_medium,,RETAIL,AE,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.59,0.17,0,0.37,ASSISTIVE,0,0,0,0,0,0
NPA-000113,designed_low,,RETAIL,SG,ONLINE,SECURITIES,EXISTING,NONE,0.22,0.05,0,0.03,NONE,0,0,0,0,0,0
NPA-000114,designed_low,,INSTITUTIONAL,DE,ONLINE,SECURITIES,EXISTING,NONE,0.13,0.06,0,0.16,NONE,0,0,0,0,0,0
NPA-000115,designed_low,,RETAIL,DE,BRANCH,FIAT,EXISTING,NONE,0.08,0.07,0,0.08,NONE,0,0,0,0,0,0
NPA-000116,designed_low,,INSTITUTIONAL,GB,ONLINE,SECURITIES,EXISTING,NONE,0.24,0.1,0,0.09,NONE,0,0,0,0,0,0
NPA-000117,designed_low,,RETAIL,AU,BRANCH,FIAT,EXISTING,REGULATED,0.18,0.12,0,0.11,NONE,0,0,0,0,0,0
NPA-000118,designed_medium,,HNW,FR,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.56,0.43,0,0.35,NONE,0,0,0,0,0,0
NPA-000119,prohibited,prohibited_jurisdiction,HNW,US|SY,ONLINE,FIAT,EXISTING,NONE,0.33,0.07,0,0.04,ASSISTIVE,0,0,0,0,0,0
NPA-000120,designed_medium,,INSTITUTIONAL,AE,ONLINE,SECURITIES,ADJACENT,REGULATED,0.35,0.38,0,0.52,ASSISTIVE,0,0,0,0,0,0
NPA-000121,designed_low,,RETAIL,JP,ONLINE,SECURITIES,EXISTING,NONE,0.04,0.09,0,0.01,NONE,0,0,0,0,0,0
NPA-000122,designed_high,,NON_RESIDENT,HK,INTERMEDIATED,DERIVATIVES,ADJACENT,UNREGULATED,0.56,0.47,1,0.81,ASSISTIVE,0,0,0,0,0,0
NPA-000123,hard_high,sanctions_asset,RETAIL,NL,BRANCH,FIAT,ADJACENT,REGULATED,0.33,0.15,0,0.18,ASSISTIVE,0,1,0,0,0,0
NPA-000124,designed_high,,NON_RESIDENT,PA,INTERMEDIATED,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.77,0.59,1,0.52,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000125,prohibited,bearer_feature,RETAIL,CA,BRANCH,SECURITIES,EXISTING,NONE,0.38,0.09,0,0.05,ASSISTIVE,0,0,0,0,0,1
NPA-000126,designed_low,,RETAIL,DE,ONLINE,FIAT,EXISTING,REGULATED,0.14,0.1,0,0.07,NONE,0,0,0,0,0,0
NPA-000127,designed_low,,RETAIL,DE,BRANCH,SECURITIES,EXISTING,NONE,0.22,0.09,0,0.11,NONE,0,0,0,0,0,0
NPA-000128,designed_medium,,INSTITUTIONAL,AE,ONLINE,DERIVATIVES,ADJACENT,REGULATED,0.31,0.43,0,0.36,ASSISTIVE,0,0,0,0,0,0
NPA-000129,designed_low,,RETAIL,NZ,BRANCH,SECURITIES,EXISTING,REGULATED,0.02,0.13,0,0.15,NONE,0,0,0,0,0,0
NPA-000130,designed_low,,RETAIL,AU,ONLINE,FIAT,EXISTING,REGULATED,0.13,0.14,0,0.07,NONE,0,0,0,0,0,0
NPA-000131,designed_high,,NON_RESIDENT,TR,API,DIGITAL_ASSET,ADJACENT,UNREGULATED,0.58,0.59,0,0.57,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000132,designed_medium,,HNW,HK,INTERMEDIATED,SECURITIES,ADJACENT,REGULATED,0.4,0.29,0,0.42,ASSISTIVE,0,0,0,0,0,0
NPA-000133,designed_medium,,INSTITUTIONAL,AE,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.26,0.26,0,0.3,NONE,0,0,0,0,0,0
NPA-000134,designed_medium,,HNW,SG,INTERMEDIATED,PHYSICAL,ADJACENT,REGULATED,0.48,0.25,0,0.37,NONE,0,0,0,0,0,0
NPA-000135,prohibited,anonymity_instrument,INSTITUTIONAL,AU,ONLINE,DIGITAL_ASSET,EXISTING,NONE,0.12,0.13,0,0.18,NONE,0,0,0,0,1,0
NPA-000136,designed_low,,INSTITUTIONAL,DE,BRANCH,SECURITIES,EXISTING,REGULATED,0.15,0.12,0,0.13,NONE,0,0,0,0,0,0
NPA-000137,designed_low,,RETAIL,FR,ONLINE,SECURITIES,EXISTING,NONE,0.06,0.13,0,0.19,NONE,0,0,0,0,0,0
NPA-000138,designed_medium,,RETAIL,DE,INTERMEDIATED,DERIVATIVES,ADJACENT,REGULATED,0.59,0.36,0,0.34,NONE,0,0,0,0,0,0
NPA-000139,designed_low,,INSTITUTIONAL,GB,BRANCH,FIAT,EXISTING,REGULATED,0.17,0.08,0,0.0,NONE,0,0,0,0,0,0
NPA-000140,designed_low,,RETAIL,GB,BRANCH,FIAT,EXISTING,NONE,0.25,0.02,0,0.06,NONE,0,0,0,0,0,0
NPA-000141,designed_high,,NON_RESIDENT,PA,API,DERIVATIVES,NEW_CAPABILITY,UNREGULATED,0.56,0.68,0,0.79,ASSISTIVE,0,0,0,0,0,0
NPA-000142,designed_low,,RETAIL,SG,ONLINE,SECURITIES,EXISTING,REGULATED,0.2,0.04,0,0.05,NONE,0,0,0,0,0,0
NPA-000143,prohibited,prohibited_jurisdiction,INSTITUTIONAL,NZ|IR,ONLINE,SECURITIES,ADJACENT,REGULATED,0.39,0.15,0,0.17,NONE,0,0,0,0,0,0
NPA-000144,hard_high,segment_geo_combo,RETAIL,SG,ONLINE,FIAT,EXISTING,REGULATED,0.04,0.05,0,0.18,NONE,0,0,1,1,0,0
NPA-000145,designed_low,,RETAIL,SG,BRANCH,FIAT,EXISTING,NONE,0.01,0.08,0,0.05,NONE,0,0,0,0,0,0
NPA-000146,prohibited,bearer_feature,INSTITUTIONAL,NZ,BRANCH,SECURITIES,EXISTING,REGULATED,0.4,0.04,0,0.11,ASSISTIVE,0,0,0,0,0,1
NPA-000147,designed_high,,UNREGULATED_ENTITY,HK,API,DIGITAL_ASSET,NEW_CAPABILITY,UNREGULATED,0.6,0.68,1,0.54,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000148,designed_low,,RETAIL,CA,BRANCH,SECURITIES,EXISTING,REGULATED,0.2,0.07,0,0.02,NONE,0,0,0,0,0,0
NPA-000149,hard_high,sanctions_asset,HNW,FR,BRANCH,FIAT,EXISTING,REGULATED,0.21,0.18,0,0.1,ASSISTIVE,0,1,0,0,0,0
NPA-000150,designed_medium,,RETAIL,FR,ONLINE,DERIVATIVES,ADJACENT,REGULATED,0.56,0.16,0,0.34,ASSISTIVE,0,0,0,0,0,0
NPA-000151,designed_low,,RETAIL,GB,BRANCH,SECURITIES,EXISTING,NONE,0.18,0.09,0,0.15,NONE,0,0,0,0,0,0
NPA-000152,designed_high,,UNREGULATED_ENTITY,TR,API,DERIVATIVES,ADJACENT,UNREGULATED,0.83,0.42,1,0.89,AUTONOMOUS_DECISIONING,0,0,0,0,0,0
NPA-000153,designed_medium,,RETAIL,US,INTERMEDIATED,SECURITIES,ADJACENT,REGULATED,0.27,0.21,0,0.21,ASSISTIVE,0,0,0,0,0,0
NPA-000154,designed_medium,,HNW,SG,ONLINE,DERIVATIVES,ADJACENT,REGULATED,0.37,0.38,0,0.5,ASSISTIVE,0,0,0,0,0,0
NPA-000155,designed_low,,INSTITUTIONAL,DE,BRANCH,SECURITIES,EXISTING,NONE,0.08,0.03,0,0.14,NONE,0,0,0,0,0,0
NPA-000156,designed_low,,INSTITUTIONAL,AU,ONLINE,SECURITIES,EXISTING,NONE,0.11,0.15,0,0.04,NONE,0,0,0,0,0,0
NPA-000157,designed_low,,RETAIL,AU,BRANCH,SECURITIES,EXISTING,NONE,0.11,0.11,0,0.03,NONE,0,0,0,0,0,0
NPA-000158,designed_low,,INSTITUTIONAL,CA,ONLINE,SECURITIES,EXISTING,REGULATED,0.25,0.04,0,0.2,NONE,0,0,0,0,0,0
NPA-000159,prohibited,prohibited_jurisdiction,RETAIL,DE|IR,ONLINE,FIAT,EXISTING,NONE,0.42,0.2,0,0.18,NONE,0,0,0,0,0,0
NPA-000160,designed_high,,UNREGULATED_ENTITY,PA,INTERMEDIATED,DIGITAL_ASSET,NEW_CAPABILITY,UNREGULATED,0.77,0.73,1,0.68,ASSISTIVE,0,0,0,0,0,0
