control,selection_seed,item_id,stratum
CTRL-000,42:main:0,CTRL-000-I022268,digital-channel
CTRL-000,42:main:0,CTRL-000-I023343,digital-channel
CTRL-000,42:main:0,CTRL-000-I024052,digital-channel
CTRL-000,42:main:0,CTRL-000-I024340,digital-channel
CTRL-000,42:main:0,CTRL-000-I024465,digital-channel
CTRL-000,42:main:0,CTRL-000-I024612,digital-channel
CTRL-000,42:main:0,CTRL-000-I024927,digital-channel
CTRL-000,42:main:0,CTRL-000-I025422,digital-channel
CTRL-000,42:main:0,CTRL-000-I026486,digital-channel
CTRL-000,42:main:0,CTRL-000-I028268,digital-channel
CTRL-000,42:main:0,CTRL-000-I028887,digital-channel
CTRL-000,42:main:0,CTRL-000-I029336,digital-channel
CTRL-000,42:main:0,CTRL-000-I030204,digital-channel
CTRL-000,42:main:0,CTRL-000-I033752,digital-channel
CTRL-000,42:main:0,CTRL-000-I033930,digital-channel
CTRL-000,42:main:0,CTRL-000-I035523,digital-channel
CTRL-000,42:main:0,CTRL-000-I036155,digital-channel
CTRL-000,42:main:0,CTRL-000-I036176,digital-channel
CTRL-000,42:main:0,CTRL-000-I037142,digital-channel
CTRL-000,42:main:0,CTRL-000-I000824,private-client
CTRL-000,42:main:0,CTRL-000-I004456,private-client
CTRL-000,42:main:0,CTRL-000-I009418,private-client
CTRL-000,42:main:0,CTRL-000-I011494,private-client
CTRL-000,42:main:0,CTRL-000-I011714,private-client
CTRL-000,42:main:0,CTRL-000-I018116,private-client
CTRL-000,42:main:0,CTRL-000-I018348,private-client
CTRL-000,42:main:0,CTRL-000-I019389,private-client
CTRL-000,42:main:0,CTRL-000-I020619,private-client
CTRL-000,42:main:0,CTRL-000-I024432,private-client
CTRL-000,42:main:0,CTRL-000-I026390,private-client
CTRL-000,42:main:0,CTRL-000-I029858,private-client
CTRL-000,42:main:0,CTRL-000-I030149,private-client
CTRL-000,42:main:0,CTRL-000-I031525,private-client
CTRL-000,42:main:0,CTRL-000-I033634,private-client
CTRL-000,42:main:0,CTRL-000-I034546,private-client
CTRL-000,42:main:0,CTRL-000-I038542,private-client
CTRL-000,42:main:0,CTRL-000-I000873,retail-branch
CTRL-000,42:main:0,CTRL-000-I000971,retail-branch
CTRL-000,42:main:0,CTRL-000-I001238,retail-branch
CTRL-000,42:main:0,CTRL-000-I003062,retail-branch
CTRL-000,42:main:0,CTRL-000-I007445,retail-branch
CTRL-000,42:main:0,CTRL-000-I008284,retail-branch
CTRL-000,42:main:0,CTRL-000-I008784,retail-branch
CTRL-000,42:main:0,CTRL-000-I009440,retail-branch
CTRL-000,42:main:0,CTRL-000-I012357,retail-branch
CTRL-000,42:main:0,CTRL-000-I012393,retail-branch
CTRL-000,42:main:0,CTRL-000-I013646,retail-branch
CTRL-000,42:main:0,CTRL-000-I014781,retail-branch
CTRL-000,42:main:0,CTRL-000-I015651,retail-branch
CTRL-000,42:main:0,CTRL-000-I018629,retail-branch
CTRL-000,42:main:0,CTRL-000-I019118,retail-branch
CTRL-000,42:main:0,CTRL-000-I019906,retail-branch
CTRL-000,42:main:0,CTRL-000-I020026,retail-branch
CTRL-000,42:main:0,CTRL-000-I021563,retail-branch
CTRL-000,42:main:0,CTRL-000-I022074,retail-branch
CTRL-000,42:main:0,CTRL-000-I025616,retail-branch
CTRL-000,42:main:0,CTRL-000-I029633,retail-branch
CTRL-000,42:main:0,CTRL-000-I031972,retail-branch
CTRL-000,42:main:0,CTRL-000-I032585,retail-branch
CTRL-000,42:main:0,CTRL-000-I034105,retail-branch
CTRL-000,42:main:0,CTRL-000-I035779,retail-branch
CTRL-000,42:main:0,CTRL-000-I039808,retail-branch
CTRL-001,42:main:1,CTRL-001-I000502,commercial
CTRL-001,42:main:1,CTRL-001-I000722,commercial
CTRL-001,42:main:1,CTRL-001-I002144,commercial
CTRL-001,42:main:1,CTRL-001-I003069,commercial
CTRL-001,42:main:1,CTRL-001-I004172,commercial
CTRL-001,42:main:1,CTRL-001-I004604,commercial
CTRL-001,42:main:1,CTRL-001-I004926,commercial
CTRL-001,42:main:1,CTRL-001-I005745,commercial
CTRL-001,42:main:1,CTRL-001-I006062,commercial
CTRL-001,42:main:1,CTRL-001-I007589,commercial
CTRL-001,42:main:1,CTRL-001-I008206,commercial
CTRL-001,42:main:1,CTRL-001-I008808,commercial
CTRL-001,42:main:1,CTRL-001-I008985,commercial
CTRL-001,42:main:1,CTRL-001-I009705,commercial
CTRL-001,42:main:1,CTRL-001-I009709,commercial
CTRL-001,42:main:1,CTRL-001-I013754,commercial
CTRL-001,42:main:1,CTRL-001-I014334,commercial
CTRL-001,42:main:1,CTRL-001-I014610,commercial
CTRL-001,42:main:1,CTRL-001-I015047,commercial
CTRL-001,42:main:1,CTRL-001-I015884,commercial
CTRL-001,42:main:1,CTRL-001-I015922,commercial
CTRL-001,42:main:1,CTRL-001-I017719,commercial
CTRL-001,42:main:1,CTRL-001-I019403,commercial
CTRL-001,42:main:1,CTRL-001-I020217,commercial
CTRL-001,42:main:1,CTRL-001-I021558,commercial
CTRL-001,42:main:1,CTRL-001-I023075,commercial
CTRL-001,42:main:1,CTRL-001-I023507,commercial
CTRL-001,42:main:1,CTRL-001-I023667,commercial
CTRL-001,42:main:1,CTRL-001-I025309,commercial
CTRL-001,42:main:1,CTRL-001-I025532,commercial
CTRL-001,42:main:1,CTRL-001-I025656,commercial
CTRL-001,42:main:1,CTRL-001-I026278,commercial
CTRL-001,42:main:1,CTRL-001-I026764,commercial
CTRL-001,42:main:1,CTRL-001-I027254,commercial
CTRL-001,42:main:1,CTRL-001-I028163,commercial
CTRL-001,42:main:1,CTRL-001-I028180,commercial
CTRL-001,42:main:1,CTRL-001-I028229,commercial
CTRL-001,42:main:1,CTRL-001-I029440,commercial
CTRL-001,42:main:1,CTRL-001-I031380,commercial
CTRL-001,42:main:1,CTRL-001-I032060,commercial
CTRL-001,42:main:1,CTRL-001-I032512,commercial
CTRL-001,42:main:1,CTRL-001-I033327,commercial
CTRL-001,42:main:1,CTRL-001-I033482,commercial
CTRL-001,42:main:1,CTRL-001-I034251,commercial
CTRL-001,42:main:1,CTRL-001-I034286,commercial
CTRL-001,42:main:1,CTRL-001-I034739,commercial
CTRL-001,42:main:1,CTRL-001-I035174,commercial
CTRL-001,42:main:1,CTRL-001-I036494,commercial
CTRL-001,42:main:1,CTRL-001-I036518,commercial
CTRL-001,42:main:1,CTRL-001-I036820,commercial
CTRL-001,42:main:1,CTRL-001-I038175,commercial
CTRL-001,42:main:1,CTRL-001-I038371,commercial
CTRL-001,42:main:1,CTRL-001-I039223,commercial
CTRL-001,42:main:1,CTRL-001-I039905,commercial
CTRL-001,42:main:1,CTRL-001-I000158,private-client
CTRL-001,42:main:1,CTRL-001-I000193,private-client
CTRL-001,42:main:1,CTRL-001-I000435,private-client
CTRL-001,42:main:1,CTRL-001-I000716,private-client
CTRL-001,42:main:1,CTRL-001-I000910,private-client
CTRL-001,42:main:1,CTRL-001-I002873,private-client
CTRL-001,42:main:1,CTRL-001-I003240,private-client
CTRL-001,42:main:1,CTRL-001-I004004,private-client
CTRL-001,42:main:1,CTRL-001-I004919,private-client
CTRL-001,42:main:1,CTRL-001-I005841,private-client
CTRL-001,42:main:1,CTRL-001-I006534,private-client
CTRL-001,42:main:1,CTRL-001-I007060,private-client
CTRL-001,42:main:1,CTRL-001-I008737,private-client
CTRL-001,42:main:1,CTRL-001-I008816,private-client
CTRL-001,42:main:1,CTRL-001-I008855,private-client
CTRL-001,42:main:1,CTRL-001-I010366,private-client
CTRL-001,42:main:1,CTRL-001-I010785,private-client
CTRL-001,42:main:1,CTRL-001-I012173,private-client
CTRL-001,42:main:1,CTRL-001-I012248,private-client
CTRL-001,42:main:1,CTRL-001-I013447,private-client
CTRL-001,42:main:1,CTRL-001-I014812,private-client
CTRL-001,42:main:1,CTRL-001-I014859,private-client
CTRL-001,42:main:1,CTRL-001-I015210,private-client
CTRL-001,42:main:1,CTRL-001-I015623,private-client
CTRL-001,42:main:1,CTRL-001-I017894,private-client
CTRL-001,42:main:1,CTRL-001-I018147,private-client
CTRL-001,42:main:1,CTRL-001-I018310,private-client
CTRL-001,42:main:1,CTRL-001-I018889,private-client
CTRL-001,42:main:1,CTRL-001-I019063,private-client
CTRL-001,42:main:1,CTRL-001-I019221,private-client
CTRL-001,42:main:1,CTRL-001-I019629,private-client
CTRL-001,42:main:1,CTRL-001-I020017,private-client
CTRL-001,42:main:1,CTRL-001-I023126,private-client
CTRL-001,42:main:1,CTRL-001-I024562,private-client
CTRL-001,42:main:1,CTRL-001-I025118,private-client
CTRL-001,42:main:1,CTRL-001-I025483,private-client
CTRL-001,42:main:1,CTRL-001-I025780,private-client
CTRL-001,42:main:1,CTRL-001-I026731,private-client
CTRL-001,42:main:1,CTRL-001-I027014,private-client
CTRL-001,42:main:1,CTRL-001-I027041,private-client
CTRL-001,42:main:1,CTRL-001-I027798,private-client
CTRL-001,42:main:1,CTRL-001-I028819,private-client
CTRL-001,42:main:1,CTRL-001-I029858,private-client
CTRL-001,42:main:1,CTRL-001-I030089,private-client
CTRL-001,42:main:1,CTRL-001-I030770,private-client
CTRL-001,42:main:1,CTRL-001-I031082,private-client
CTRL-001,42:main:1,CTRL-001-I031553,private-client
CTRL-001,42:main:1,CTRL-001-I031729,private-client
CTRL-001,42:main:1,CTRL-001-I032388,private-client
CTRL-001,42:main:1,CTRL-001-I033114,private-client
CTRL-001,42:main:1,CTRL-001-I035782,private-client
CTRL-001,42:main:1,CTRL-001-I038273,private-client
CTRL-001,42:main:1,CTRL-001-I038326,private-client
CTRL-001,42:main:1,CTRL-001-I000605,retail-branch
CTRL-001,42:main:1,CTRL-001-I001500,retail-branch
CTRL-001,42:main:1,CTRL-001-I001642,retail-branch
CTRL-001,42:main:1,CTRL-001-I001647,retail-branch
CTRL-001,42:main:1,CTRL-001-I002275,retail-branch
CTRL-001,42:main:1,CTRL-001-I002943,retail-branch
CTRL-001,42:main:1,CTRL-001-I003502,retail-branch
CTRL-001,42:main:1,CTRL-001-I003766,retail-branch
CTRL-001,42:main:1,CTRL-001-I003852,retail-branch
CTRL-001,42:main:1,CTRL-001-I005447,retail-branch
CTRL-001,42:main:1,CTRL-001-I005846,retail-branch
CTRL-001,42:main:1,CTRL-001-I007516,retail-branch
CTRL-001,42:main:1,CTRL-001-I008463,retail-branch
CTRL-001,42:main:1,CTRL-001-I008892,retail-branch
CTRL-001,42:main:1,CTRL-001-I009110,retail-branch
CTRL-001,42:main:1,CTRL-001-I009902,retail-branch
CTRL-001,42:main:1,CTRL-001-I011421,retail-branch
CTRL-001,42:main:1,CTRL-001-I013973,retail-branch
CTRL-001,42:main:1,CTRL-001-I014522,retail-branch
CTRL-001,42:main:1,CTRL-001-I014777,retail-branch
CTRL-001,42:main:1,CTRL-001-I015044,retail-branch
CTRL-001,42:main:1,CTRL-001-I015451,retail-branch
CTRL-001,42:main:1,CTRL-001-I015776,retail-branch
CTRL-001,42:main:1,CTRL-001-I016079,retail-branch
CTRL-001,42:main:1,CTRL-001-I016432,retail-branch
CTRL-001,42:main:1,CTRL-001-I016494,retail-branch
CTRL-001,42:main:1,CTRL-001-I017947,retail-branch
CTRL-001,42:main:1,CTRL-001-I023274,retail-branch
CTRL-001,42:main:1,CTRL-001-I023710,retail-branch
CTRL-001,42:main:1,CTRL-001-I023812,retail-branch
CTRL-001,42:main:1,CTRL-001-I024549,retail-branch
CTRL-001,42:main:1,CTRL-001-I026894,retail-branch
CTRL-001,42:main:1,CTRL-001-I027093,retail-branch
CTRL-001,42:main:1,CTRL-001-I027207,retail-branch
CTRL-001,42:main:1,CTRL-001-I028691,retail-branch
CTRL-001,42:main:1,CTRL-001-I028939,retail-branch
CTRL-001,42:main:1,CTRL-001-I029335,retail-branch
CTRL-001,42:main:1,CTRL-001-I030062,retail-branch
CTRL-001,42:main:1,CTRL-001-I032086,retail-branch
CTRL-001,42:main:1,CTRL-001-I032271,retail-branch
CTRL-001,42:main:1,CTRL-001-I032411,retail-branch
CTRL-001,42:main:1,CTRL-001-I033638,retail-branch
CTRL-001,42:main:1,CTRL-001-I033707,retail-branch
CTRL-001,42:main:1,CTRL-001-I034998,retail-branch
CTRL-001,42:main:1,CTRL-001-I035402,retail-branch
CTRL-001,42:main:1,CTRL-001-I036871,retail-branch
CTRL-001,42:main:1,CTRL-001-I037494,retail-branch
CTRL-001,42:main:1,CTRL-001-I038050,retail-branch
CTRL-001,42:main:1,CTRL-001-I039199,retail-branch
CTRL-002,42:main:2,CTRL-002-I000596,commercial
CTRL-002,42:main:2,CTRL-002-I001909,commercial
CTRL-002,42:main:2,CTRL-002-I002071,commercial
CTRL-002,42:main:2,CTRL-002-I002791,commercial
CTRL-002,42:main:2,CTRL-002-I004784,commercial
CTRL-002,42:main:2,CTRL-002-I004877,commercial
CTRL-002,42:main:2,CTRL-002-I005017,commercial
CTRL-002,42:main:2,CTRL-002-I005254,commercial
CTRL-002,42:main:2,CTRL-002-I006222,commercial
CTRL-002,42:main:2,CTRL-002-I006486,commercial
CTRL-002,42:main:2,CTRL-002-I006762,commercial
CTRL-002,42:main:2,CTRL-002-I008433,commercial
CTRL-002,42:main:2,CTRL-002-I010318,commercial
CTRL-002,42:main:2,CTRL-002-I010345,commercial
CTRL-002,42:main:2,CTRL-002-I010988,commercial
CTRL-002,42:main:2,CTRL-002-I011706,commercial
CTRL-002,42:main:2,CTRL-002-I011826,commercial
CTRL-002,42:main:2,CTRL-002-I014026,commercial
CTRL-002,42:main:2,CTRL-002-I015539,commercial
CTRL-002,42:main:2,CTRL-002-I016612,commercial
CTRL-002,42:main:2,CTRL-002-I018427,commercial
CTRL-002,42:main:2,CTRL-002-I019834,commercial
CTRL-002,42:main:2,CTRL-002-I020015,commercial
CTRL-002,42:main:2,CTRL-002-I020272,commercial
CTRL-002,42:main:2,CTRL-002-I020806,commercial
CTRL-002,42:main:2,CTRL-002-I021085,commercial
CTRL-002,42:main:2,CTRL-002-I022818,commercial
CTRL-002,42:main:2,CTRL-002-I025034,commercial
CTRL-002,42:main:2,CTRL-002-I025104,commercial
CTRL-002,42:main:2,CTRL-002-I025204,commercial
CTRL-002,42:main:2,CTRL-002-I026393,commercial
CTRL-002,42:main:2,CTRL-002-I026792,commercial
CTRL-002,42:main:2,CTRL-002-I026930,commercial
CTRL-002,42:main:2,CTRL-002-I027728,commercial
CTRL-002,42:main:2,CTRL-002-I028815,commercial
CTRL-002,42:main:2,CTRL-002-I031119,commercial
CTRL-002,42:main:2,CTRL-002-I031878,commercial
CTRL-002,42:main:2,CTRL-002-I033509,commercial
CTRL-002,42:main:2,CTRL-002-I033538,commercial
CTRL-002,42:main:2,CTRL-002-I035018,commercial
CTRL-002,42:main:2,CTRL-002-I035854,commercial
CTRL-002,42:main:2,CTRL-002-I036089,commercial
CTRL-002,42:main:2,CTRL-002-I036344,commercial
CTRL-002,42:main:2,CTRL-002-I036885,commercial
CTRL-002,42:main:2,CTRL-002-I037403,commercial
CTRL-002,42:main:2,CTRL-002-I037576,commercial
CTRL-002,42:main:2,CTRL-002-I038015,commercial
CTRL-002,42:main:2,CTRL-002-I000486,digital-channel
CTRL-002,42:main:2,CTRL-002-I001248,digital-channel
CTRL-002,42:main:2,CTRL-002-I001820,digital-channel
CTRL-002,42:main:2,CTRL-002-I002423,digital-channel
CTRL-002,42:main:2,CTRL-002-I002486,digital-channel
CTRL-002,42:main:2,CTRL-002-I003273,digital-channel
CTRL-002,42:main:2,CTRL-002-I003404,digital-channel
CTRL-002,42:main:2,CTRL-002-I003795,digital-channel
CTRL-002,42:main:2,CTRL-002-I004944,digital-channel
CTRL-002,42:main:2,CTRL-002-I008127,digital-channel
CTRL-002,42:main:2,CTRL-002-I008131,digital-channel
CTRL-002,42:main:2,CTRL-002-I011393,digital-channel
CTRL-002,42:main:2,CTRL-002-I011714,digital-channel
CTRL-002,42:main:2,CTRL-002-I013414,digital-channel
CTRL-002,42:main:2,CTRL-002-I014711,digital-channel
CTRL-002,42:main:2,CTRL-002-I015257,digital-channel
CTRL-002,42:main:2,CTRL-002-I016192,digital-channel
CTRL-002,42:main:2,CTRL-002-I016862,digital-channel
CTRL-002,42:main:2,CTRL-002-I016951,digital-channel
CTRL-002,42:main:2,CTRL-002-I017050,digital-channel
CTRL-002,42:main:2,CTRL-002-I018148,digital-channel
CTRL-002,42:main:2,CTRL-002-I019367,digital-channel
CTRL-002,42:main:2,CTRL-002-I019669,digital-channel
CTRL-002,42:main:2,CTRL-002-I019872,digital-channel
CTRL-002,42:main:2,CTRL-002-I020578,digital-channel
CTRL-002,42:main:2,CTRL-002-I022664,digital-channel
CTRL-002,42:main:2,CTRL-002-I022921,digital-channel
CTRL-002,42:main:2,CTRL-002-I027579,digital-channel
CTRL-002,42:main:2,CTRL-002-I030016,digital-channel
CTRL-002,42:main:2,CTRL-002-I030053,digital-channel
CTRL-002,42:main:2,CTRL-002-I030086,digital-channel
CTRL-002,42:main:2,CTRL-002-I030656,digital-channel
CTRL-002,42:main:2,CTRL-002-I031980,digital-channel
CTRL-002,42:main:2,CTRL-002-I032714,digital-channel
CTRL-002,42:main:2,CTRL-002-I033925,digital-channel
CTRL-002,42:main:2,CTRL-002-I037638,digital-channel
CTRL-002,42:main:2,CTRL-002-I000078,operations
CTRL-002,42:main:2,CTRL-002-I000270,operations
CTRL-002,42:main:2,CTRL-002-I000886,operations
CTRL-002,42:main:2,CTRL-002-I000945,operations
CTRL-002,42:main:2,CTRL-002-I002672,operations
CTRL-002,42:main:2,CTRL-002-I003578,operations
CTRL-002,42:main:2,CTRL-002-I003878,operations
CTRL-002,42:main:2,CTRL-002-I004137,operations
CTRL-002,42:main:2,CTRL-002-I005494,operations
CTRL-002,42:main:2,CTRL-002-I005550,operations
CTRL-002,42:main:2,CTRL-002-I006260,operations
CTRL-002,42:main:2,CTRL-002-I006648,operations
CTRL-002,42:main:2,CTRL-002-I006824,operations
CTRL-002,42:main:2,CTRL-002-I010064,operations
CTRL-002,42:main:2,CTRL-002-I011363,operations
CTRL-002,42:main:2,CTRL-002-I011597,operations
CTRL-002,42:main:2,CTRL-002-I013404,operations
CTRL-002,42:main:2,CTRL-002-I014670,operations
CTRL-002,42:main:2,CTRL-002-I015046,operations
CTRL-002,42:main:2,CTRL-002-I016654,operations
CTRL-002,42:main:2,CTRL-002-I017369,operations
CTRL-002,42:main:2,CTRL-002-I017751,operations
CTRL-002,42:main:2,CTRL-002-I018055,operations
CTRL-002,42:main:2,CTRL-002-I018595,operations
CTRL-002,42:main:2,CTRL-002-I018844,operations
CTRL-002,42:main:2,CTRL-002-I019438,operations
CTRL-002,42:main:2,CTRL-002-I019981,operations
CTRL-002,42:main:2,CTRL-002-I020988,operations
CTRL-002,42:main:2,CTRL-002-I021549,operations
CTRL-002,42:main:2,CTRL-002-I021662,operations
CTRL-002,42:main:2,CTRL-002-I024227,operations
CTRL-002,42:main:2,CTRL-002-I026114,operations
CTRL-002,42:main:2,CTRL-002-I030090,operations
CTRL-002,42:main:2,CTRL-002-I032009,operations
CTRL-002,42:main:2,CTRL-002-I032345,operations
CTRL-002,42:main:2,CTRL-002-I032415,operations
CTRL-002,42:main:2,CTRL-002-I032760,operations
CTRL-002,42:main:2,CTRL-002-I033029,operations
CTRL-002,42:main:2,CTRL-002-I033338,operations
CTRL-002,42:main:2,CTRL-002-I033585,operations
CTRL-002,42:main:2,CTRL-002-I035555,operations
CTRL-002,42:main:2,CTRL-002-I035926,operations
CTRL-002,42:main:2,CTRL-002-I036310,operations
CTRL-002,42:main:2,CTRL-002-I036369,operations
CTRL-002,42:main:2,CTRL-002-I036937,operations
CTRL-002,42:main:2,CTRL-002-I037306,operations
CTRL-002,42:main:2,CTRL-002-I038464,operations
CTRL-002,42:main:2,CTRL-002-I039645,operations
CTRL-002,42:main:2,CTRL-002-I039837,operations
CTRL-002,42:main:2,CTRL-002-I004271,retail-branch
CTRL-002,42:main:2,CTRL-002-I005813,retail-branch
CTRL-002,42:main:2,CTRL-002-I006370,retail-branch
CTRL-002,42:main:2,CTRL-002-I006746,retail-branch
CTRL-002,42:main:2,CTRL-002-I007138,retail-branch
CTRL-002,42:main:2,CTRL-002-I008861,retail-branch
CTRL-002,42:main:2,CTRL-002-I009993,retail-branch
CTRL-002,42:main:2,CTRL-002-I011657,retail-branch
CTRL-002,42:main:2,CTRL-002-I012392,retail-branch
CTRL-002,42:main:2,CTRL-002-I016418,retail-branch
CTRL-002,42:main:2,CTRL-002-I017584,retail-branch
CTRL-002,42:main:2,CTRL-002-I019576,retail-branch
CTRL-002,42:main:2,CTRL-002-I020129,retail-branch
CTRL-002,42:main:2,CTRL-002-I021027,retail-branch
CTRL-002,42:main:2,CTRL-002-I021332,retail-branch
CTRL-002,42:main:2,CTRL-002-I027637,retail-branch
CTRL-002,42:main:2,CTRL-002-I028791,retail-branch
CTRL-002,42:main:2,CTRL-002-I032711,retail-branch
CTRL-002,42:main:2,CTRL-002-I033160,retail-branch
CTRL-002,42:main:2,CTRL-002-I034683,retail-branch
CTRL-002,42:main:2,CTRL-002-I034906,retail-branch
CTRL-002,42:main:2,CTRL-002-I035151,retail-branch
CTRL-002,42:main:2,CTRL-002-I035471,retail-branch
CTRL-002,42:main:2,CTRL-002-I037182,retail-branch
CTRL-003,42:main:3,CTRL-003-I000708,commercial
CTRL-003,42:main:3,CTRL-003-I001150,commercial
CTRL-003,42:main:3,CTRL-003-I003450,commercial
CTRL-003,42:main:3,CTRL-003-I003926,commercial
CTRL-003,42:main:3,CTRL-003-I004971,commercial
CTRL-003,42:main:3,CTRL-003-I005720,commercial
CTRL-003,42:main:3,CTRL-003-I007805,commercial
CTRL-003,42:main:3,CTRL-003-I008770,commercial
CTRL-003,42:main:3,CTRL-003-I009365,commercial
CTRL-003,42:main:3,CTRL-003-I010363,commercial
CTRL-003,42:main:3,CTRL-003-I010785,commercial
CTRL-003,42:main:3,CTRL-003-I011727,commercial
CTRL-003,42:main:3,CTRL-003-I013418,commercial
CTRL-003,42:main:3,CTRL-003-I013806,commercial
CTRL-003,42:main:3,CTRL-003-I014415,commercial
CTRL-003,42:main:3,CTRL-003-I015625,commercial
CTRL-003,42:main:3,CTRL-003-I015872,commercial
CTRL-003,42:main:3,CTRL-003-I015986,commercial
CTRL-003,42:main:3,CTRL-003-I017181,commercial
CTRL-003,42:main:3,CTRL-003-I019085,commercial
CTRL-003,42:main:3,CTRL-003-I021360,commercial
CTRL-003,42:main:3,CTRL-003-I025175,commercial
CTRL-003,42:main:3,CTRL-003-I025343,commercial
CTRL-003,42:main:3,CTRL-003-I026048,commercial
CTRL-003,42:main:3,CTRL-003-I027571,commercial
CTRL-003,42:main:3,CTRL-003-I027584,commercial
CTRL-003,42:main:3,CTRL-003-I027615,commercial
CTRL-003,42:main:3,CTRL-003-I028218,commercial
CTRL-003,42:main:3,CTRL-003-I028341,commercial
CTRL-003,42:main:3,CTRL-003-I028370,commercial
CTRL-003,42:main:3,CTRL-003-I032338,commercial
CTRL-003,42:main:3,CTRL-003-I033214,commercial
CTRL-003,42:main:3,CTRL-003-I033386,commercial
CTRL-003,42:main:3,CTRL-003-I034803,commercial
CTRL-003,42:main:3,CTRL-003-I035776,commercial
CTRL-003,42:main:3,CTRL-003-I036219,commercial
CTRL-003,42:main:3,CTRL-003-I036379,commercial
CTRL-003,42:main:3,CTRL-003-I036587,commercial
CTRL-003,42:main:3,CTRL-003-I037145,commercial
CTRL-003,42:main:3,CTRL-003-I037783,commercial
CTRL-003,42:main:3,CTRL-003-I037928,commercial
CTRL-003,42:main:3,CTRL-003-I039210,commercial
CTRL-003,42:main:3,CTRL-003-I039677,commercial
CTRL-003,42:main:3,CTRL-003-I000314,digital-channel
CTRL-003,42:main:3,CTRL-003-I001290,digital-channel
CTRL-003,42:main:3,CTRL-003-I001652,digital-channel
CTRL-003,42:main:3,CTRL-003-I002603,digital-channel
CTRL-003,42:main:3,CTRL-003-I002668,digital-channel
CTRL-003,42:main:3,CTRL-003-I004547,digital-channel
CTRL-003,42:main:3,CTRL-003-I004608,digital-channel
CTRL-003,42:main:3,CTRL-003-I004899,digital-channel
CTRL-003,42:main:3,CTRL-003-I005737,digital-channel
CTRL-003,42:main:3,CTRL-003-I006000,digital-channel
CTRL-003,42:main:3,CTRL-003-I006308,digital-channel
CTRL-003,42:main:3,CTRL-003-I006790,digital-channel
CTRL-003,42:main:3,CTRL-003-I008283,digital-channel
CTRL-003,42:main:3,CTRL-003-I008486,digital-channel
CTRL-003,42:main:3,CTRL-003-I010218,digital-channel
