method,n,k,confidence,udl_primary,udl_bruteforce,abs_divergence
binomial,200,1,0.9,0.0193086382,0.0193086382,2.186e-16
binomial,200,1,0.95,0.0234984704,0.0234984704,1.665e-16
binomial,200,1,0.99,0.0327277511,0.0327277511,1.527e-16
binomial,200,2,0.9,0.0263913502,0.0263913502,1.062e-15
binomial,200,2,0.95,0.0311425994,0.0311425994,1.017e-15
binomial,200,2,0.99,0.0413622782,0.0413622782,9.784e-16
binomial,200,5,0.9,0.0458786904,0.0458786904,5.274e-16
binomial,200,5,0.95,0.0518433391,0.0518433391,4.510e-16
binomial,200,5,0.99,0.0642240479,0.0642240479,3.331e-16
binomial,200,10,0.9,0.0759897882,0.0759897882,7.910e-16
binomial,200,10,0.95,0.0833351511,0.0833351511,7.633e-16
binomial,200,10,0.99,0.0981819166,0.0981819166,5.690e-16
binomial,400,0,0.9,0.005739926,0.005739926,3.209e-17
binomial,400,0,0.95,0.0074613555,0.0074613555,1.561e-17
binomial,400,0,0.99,0.0114469053,0.0114469053,3.816e-17
binomial,400,1,0.9,0.0096892424,0.0096892424,8.570e-16
binomial,400,1,0.95,0.0118043045,0.0118043045,8.535e-16
binomial,400,1,0.99,0.0164793971,0.0164793971,8.257e-16
binomial,400,2,0.9,0.0132506408,0.0132506408,1.074e-15
binomial,400,2,0.95,0.0156551799,0.0156551799,9.714e-16
binomial,400,2,0.99,0.0208472998,0.0208472998,8.708e-16
binomial,400,5,0.9,0.0230629038,0.0230629038,6.072e-16
binomial,400,5,0.95,0.0261017991,0.0261017991,6.210e-16
binomial,400,5,0.99,0.0324403398,0.0324403398,5.967e-16
binomial,400,10,0.9,0.0382560326,0.0382560326,8.951e-16
binomial,400,10,0.95,0.042036545,0.042036545,8.257e-16
binomial,400,10,0.99,0.0497247209,0.0497247209,7.841e-16
hypergeometric,117,0,0.95,0.025225,0.025225,2.021e-12
hypergeometric,117,1,0.95,0.03985,0.03985,1.648e-12
hypergeometric,117,2,0.95,0.052775,0.052775,8.850e-13
hypergeometric,156,0,0.95,0.018975,0.018975,1.414e-12
hypergeometric,156,24,0.95,0.209375,0.209375,1.218e-13
hypergeometric,156,2,0.95,0.03975,0.03975,2.835e-12
hypergeometric,156,3,0.95,0.048875,0.048875,1.247e-12
hypergeometric,156,0,0.95,0.018975,0.018975,1.414e-12
hypergeometric,156,2,0.95,0.03975,0.03975,2.835e-12
hypergeometric,156,3,0.95,0.048875,0.048875,1.247e-12
hypergeometric,156,0,0.95,0.018975,0.018975,1.414e-12
hypergeometric,156,3,0.95,0.048875,0.048875,1.247e-12
hypergeometric,156,42,0.95,0.333725,0.333725,1.653e-12
hypergeometric,156,2,0.95,0.03975,0.03975,2.835e-12
hypergeometric,61,0,0.95,0.047875,0.047875,2.020e-12
hypergeometric,61,2,0.95,0.099575,0.099575,1.465e-12
hypergeometric,61,3,0.95,0.122175,0.122175,1.398e-12
hypergeometric,156,0,0.95,0.018975,0.018975,1.414e-12
hypergeometric,156,2,0.95,0.03975,0.03975,2.835e-12
hypergeometric,156,3,0.95,0.048875,0.048875,1.247e-12
hypergeometric,156,22,0.95,0.1951,0.1951,2.099e-12
hypergeometric,124,0,0.95,0.023825,0.023825,5.687e-13
hypergeometric,124,2,0.95,0.049825,0.049825,3.149e-12
hypergeometric,124,3,0.95,0.061275,0.061275,2.897e-12
hypergeometric,156,0,0.95,0.018975,0.018975,1.414e-12
hypergeometric,156,3,0.95,0.048875,0.048875,1.247e-12
hypergeometric,156,48,0.95,0.37395,0.37395,3.384e-13
hypergeometric,156,2,0.95,0.03975,0.03975,2.835e-12
hypergeometric,61,0,0.95,0.047875,0.047875,2.020e-12
hypergeometric,61,1,0.95,0.075375,0.075375,6.605e-13
hypergeometric,61,2,0.95,0.099575,0.099575,1.465e-12
hypergeometric,61,3,0.95,0.122175,0.122175,1.398e-12
hypergeometric,127,0,0.95,0.023275,0.023275,2.375e-12
hypergeometric,127,3,0.95,0.05985,0.05985,1.524e-12
hypergeometric,127,20,0.95,0.22045,0.22045,1.068e-12
hypergeometric,127,4,0.95,0.07055,0.07055,3.173e-13
hypergeometric,127,0,0.95,0.023275,0.023275,2.375e-12
hypergeometric,127,3,0.95,0.05985,0.05985,1.524e-12
hypergeometric,127,4,0.95,0.07055,0.07055,3.173e-13
hypergeometric,127,7,0.95,0.10095,0.10095,7.141e-13
hypergeometric,77,0,0.95,0.0381,0.0381,2.297e-12
hypergeometric,77,2,0.95,0.07945,0.07945,4.267e-12
hypergeometric,77,3,0.95,0.09755,0.09755,5.394e-12
hypergeometric,77,23,0.95,0.3958,0.3958,6.938e-13
