address_id,top_category,exposure,hops,amount_fraction,via_breaker,direction,label,fp_category
0x145998326856,darknet_market,0.011362,1,0.017086,0,inbound,0,de_minimis
0xa0dcb758588d,merchant_processor,0.0,,0.505041,0,inbound,0,benign_category
0x04c412922f83,sanctioned_address,0.003518,1,0.005026,0,outbound,0,de_minimis
0x43d143e42caf,darknet_market,0.002521,6,0.022556,0,outbound,0,diluted_distant
0x9ae3b41b3143,sanctioned_address,0.012002,1,0.017145,0,inbound,0,de_minimis
0x87682260e70f,mixer,0.00321,6,0.029655,0,inbound,0,diluted_distant
0x683d57c700aa,licensed_exchange,0.0,,0.822,0,outbound,0,benign_category
0x8da9d450281c,fraud_proceeds,0.070442,3,0.256711,0,inbound,1,
0xdaf9b4a69f3c,high_risk_exchange,0.162907,2,0.554107,0,inbound,0,ambiguous_residual
0x4bd28d7248e2,sanctioned_address,0.0,3,0.790763,1,outbound,0,broken_intermediary
0xb5151a50aec3,mixer,0.025116,5,0.162434,0,outbound,0,diluted_distant
0x5aa6cf8ebc5a,scam,0.125256,3,0.468177,0,outbound,1,
0x7f0fcf8d446a,ransomware,0.021835,5,0.136753,0,outbound,0,diluted_distant
0x662e38f16a81,mixer,0.005065,5,0.032757,0,outbound,0,diluted_distant
0xcc033170f437,merchant_processor,0.0,,0.679831,0,outbound,0,benign_category
0xa98c89456f27,high_risk_exchange,0.125035,2,0.425289,0,inbound,0,ambiguous_residual
0x139643f59a85,darknet_market,0.0,3,0.529668,1,inbound,0,broken_intermediary
0xc5381d9af659,sanctioned_address,0.010367,5,0.061685,0,inbound,0,diluted_distant
0x3fced9178793,darknet_market,0.00764,6,0.068361,0,outbound,0,diluted_distant
0x412b8dedf9fb,high_risk_exchange,0.16183,2,0.550441,0,inbound,0,ambiguous_residual
0x591ae71e43a6,darknet_market,0.002835,6,0.025361,0,outbound,0,diluted_distant
0xee12527eecfa,mining_pool,0.0,,0.286702,0,outbound,0,benign_category
0x914c15b52908,high_risk_exchange,0.128951,2,0.43861,0,outbound,0,ambiguous_residual
0x73044f77a665,mining_pool,0.0,,0.72272,0,inbound,0,benign_category
0xe92c12a4def0,ransomware,0.007263,1,0.010921,0,outbound,0,de_minimis
0x4b8e3e75c3b4,sanctioned_address,0.003041,6,0.025851,0,inbound,0,diluted_distant
0x19b676ecbdd6,defi_bluechip,0.0,,0.694976,0,inbound,0,benign_category
0xa274986f9025,ransomware,0.010996,6,0.098381,0,outbound,0,diluted_distant
0xe66f79844388,darknet_market,0.006684,6,0.059805,0,outbound,0,diluted_distant
0xe136464c04af,merchant_processor,0.0,,0.832765,0,inbound,0,benign_category
0x46d814a0bccb,mixer,0.010412,5,0.067336,0,inbound,0,diluted_distant
0xd4e07746d0ba,sanctioned_address,0.0,3,0.764011,1,inbound,0,broken_intermediary
0xf4366160a6b4,ransomware,0.0,3,0.761954,1,inbound,0,broken_intermediary
0xf9f93875394c,ransomware,0.005789,1,0.008706,0,inbound,0,de_minimis
0x2afb06f028ff,sanctioned_address,0.0,3,0.447766,1,outbound,0,broken_intermediary
0x6c5e53cd6268,ransomware,0.008461,6,0.075699,0,outbound,0,diluted_distant
0xd7d7d4f8fd72,sanctioned_address,0.0,3,0.857313,1,outbound,0,broken_intermediary
0x72cd59970043,sanctioned_address,0.012106,1,0.017295,0,inbound,0,de_minimis
0x7a222702878b,defi_bluechip,0.0,,0.713709,0,inbound,0,benign_category
0xbcdfc4536f1d,high_risk_exchange,0.165068,2,0.561457,0,inbound,0,ambiguous_residual
0x37584fa03f26,ransomware,0.006353,1,0.009553,0,inbound,0,de_minimis
0x658bb70b3420,mixer,0.01653,5,0.106904,0,inbound,0,diluted_distant
0x3dface3714af,darknet_market,0.0,3,0.368971,1,inbound,0,broken_intermediary
0xaeb5a5c5650c,sanctioned_address,0.012937,6,0.109959,0,inbound,0,diluted_distant
0xeb62d4262982,darknet_market,0.004859,6,0.043473,0,inbound,0,diluted_distant
0x896b97ac6aa8,sanctioned_address,0.01126,6,0.095706,0,outbound,0,diluted_distant
0xac3c6105716b,ransomware,0.0,3,0.427009,1,inbound,0,broken_intermediary
0x8446cc3ebdde,darknet_market,0.007834,1,0.011781,0,outbound,0,de_minimis
0x2bd530e912f2,mixer,0.008803,1,0.013669,0,inbound,0,de_minimis
0xe5777da67785,defi_bluechip,0.0,,0.692866,0,inbound,0,benign_category
0xf24f5e781fd7,darknet_market,0.007722,6,0.069088,0,outbound,0,diluted_distant
0x9cfd455ac762,darknet_market,0.018324,5,0.114764,0,outbound,0,diluted_distant
0x5ecbb0ae8f08,darknet_market,0.011789,1,0.017727,0,inbound,0,de_minimis
0x6363d52721e7,licensed_exchange,0.0,,0.487345,0,outbound,0,benign_category
0x174d4639447b,mixer,0.002153,6,0.019889,0,inbound,0,diluted_distant
0xf05448ca7651,licensed_exchange,0.0,,0.863733,0,outbound,0,benign_category
0x3a697a4c75d4,licensed_exchange,0.0,,0.652219,0,inbound,0,benign_category
0x2b9c4dc82a1e,mixer,0.00457,6,0.042225,0,inbound,0,diluted_distant
0x983e715629ee,sanctioned_address,0.012086,1,0.017266,0,outbound,0,de_minimis
0x877f3605bf54,licensed_exchange,0.0,,0.600937,0,inbound,0,benign_category
0xf098980402a2,darknet_market,0.307001,2,0.659507,0,outbound,1,
0xd9ab32a447b2,darknet_market,0.010356,1,0.015573,0,inbound,0,de_minimis
0x1e881247ea4e,darknet_market,0.006749,1,0.010148,0,inbound,0,de_minimis
0xfcd28a3c3b5e,mining_pool,0.0,,0.362181,0,outbound,0,benign_category
0x0d3e40181c6e,sanctioned_address,0.006381,6,0.054238,0,inbound,0,diluted_distant
0xf0e52cd94cbb,mining_pool,0.0,,0.693121,0,outbound,0,benign_category
0x2eb7f8140102,sanctioned_address,0.0,3,0.764638,1,outbound,0,broken_intermediary
0xd2c3546e035a,high_risk_exchange,0.172705,2,0.587433,0,outbound,0,ambiguous_residual
0x12c98cd321b0,licensed_exchange,0.0,,0.814901,0,outbound,0,benign_category
0xd395764414fd,ransomware,0.0,3,0.627997,1,inbound,0,broken_intermediary
0x1a6cc28ebd70,merchant_processor,0.0,,0.825002,0,inbound,0,benign_category
0x3e2b7c16128d,mixer,0.008975,1,0.013937,0,inbound,0,de_minimis
0x2fb9687213f9,high_risk_exchange,0.145323,2,0.494294,0,inbound,0,ambiguous_residual
0x4ed5d50755d9,darknet_market,0.0,3,0.519471,1,outbound,0,broken_intermediary
0x7cca78e3654b,mixer,0.0,3,0.768592,1,outbound,0,broken_intermediary
0xae046a39aaa6,darknet_market,0.0,3,0.752004,1,outbound,0,broken_intermediary
0xfab2a8f1e091,darknet_market,0.007798,1,0.011727,0,inbound,0,de_minimis
0xc1218b1e3b9d,mixer,0.00289,6,0.026703,0,outbound,0,diluted_distant
0xd251c68a152f,ransomware,0.0,3,0.505347,1,inbound,0,broken_intermediary
0x4de0fb16e5db,merchant_processor,0.0,,0.905967,0,outbound,0,benign_category
0x330d70b7e868,mixer,0.5666,1,0.879813,0,outbound,1,
0x87b1f81dbaa1,sanctioned_address,0.0,3,0.760902,1,outbound,0,broken_intermediary
0xf9d4c268283e,merchant_processor,0.0,,0.861368,0,inbound,0,benign_category
0x3375df615a5c,sanctioned_address,0.0,3,0.360181,1,outbound,0,broken_intermediary
0x1cbbcbd00ef2,mixer,0.0,3,0.577576,1,outbound,0,broken_intermediary
0x5c30cae28e66,ransomware,0.00843,1,0.012676,0,inbound,0,de_minimis
0xfece3da70577,ransomware,0.005037,1,0.007575,0,inbound,0,de_minimis
0xee35cdfc6ee0,mining_pool,0.0,,0.894307,0,outbound,0,benign_category
0xd93ff6478986,ransomware,0.0,3,0.761884,1,outbound,0,broken_intermediary
0x79731b4da0fe,darknet_market,0.002864,1,0.004307,0,outbound,0,de_minimis
0x8c886553867d,sanctioned_address,0.010319,6,0.087713,0,inbound,0,diluted_distant
0x9288e726be23,mixer,0.0,3,0.625515,1,inbound,0,broken_intermediary
0x4607d69d42f1,darknet_market,0.010002,1,0.015041,0,inbound,0,de_minimis
0x2e2521a4344f,mixer,0.0,3,0.393897,1,outbound,0,broken_intermediary
0xbb51f8b38a8b,mining_pool,0.0,,0.74183,0,outbound,0,benign_category
0xefc91d7bc313,high_risk_exchange,0.176504,2,0.600354,0,inbound,0,ambiguous_residual
0xcb79fadd7ea3,darknet_market,0.0,3,0.580392,1,outbound,0,broken_intermediary
0xbcb7746cdb77,darknet_market,0.016481,5,0.103218,0,outbound,0,diluted_distant
0x0cd078b2b549,licensed_exchange,0.0,,0.701054,0,outbound,0,benign_category
0x3bbc688613db,ransomware,0.542988,1,0.816523,0,inbound,1,
0xc6fc22bae10e,high_risk_exchange,0.163338,2,0.555572,0,outbound,0,ambiguous_residual
0xd6978a4a0e2d,ransomware,0.008392,1,0.012619,0,inbound,0,de_minimis
0x10c0479d0cda,mixer,0.0,3,0.763208,1,outbound,0,broken_intermediary
0xbc13af88bdec,licensed_exchange,0.0,,0.399532,0,outbound,0,benign_category
0x0aeff8999246,defi_bluechip,0.0,,0.303223,0,inbound,0,benign_category
0x6a108de08fc2,defi_bluechip,0.0,,0.217074,0,inbound,0,benign_category
0x38482cabd7e7,mixer,0.0,3,0.608104,1,inbound,0,broken_intermediary
0x5936040a3aae,fraud_proceeds,0.228837,2,0.583767,0,outbound,1,
0xe58479eb4168,defi_bluechip,0.0,,0.23281,0,outbound,0,benign_category
0x9a6f857dd3b3,mining_pool,0.0,,0.561294,0,outbound,0,benign_category
0xfb041ba362e7,defi_bluechip,0.0,,0.644167,0,outbound,0,benign_category
0xa67eb64fa54a,ransomware,0.007367,1,0.011078,0,outbound,0,de_minimis
0x32c76e218b09,mixer,0.006454,1,0.010021,0,inbound,0,de_minimis
0x74fde359eee1,ransomware,0.0,3,0.68707,1,outbound,0,broken_intermediary
0xda8050032b35,mixer,0.0,3,0.662383,1,outbound,0,broken_intermediary
0x225f79699ed2,licensed_exchange,0.0,,0.632907,0,inbound,0,benign_category
0x429ecfd01cbd,darknet_market,0.008898,1,0.01338,0,inbound,0,de_minimis
0xb50a692ac139,darknet_market,0.003846,6,0.034415,0,outbound,0,diluted_distant
0x4f3836760ce5,merchant_processor,0.0,,0.866912,0,outbound,0,benign_category
0x73cb92f837d4,high_risk_exchange,0.1731,2,0.588775,0,outbound,0,ambiguous_residual
0x0ed244777442,darknet_market,0.001772,6,0.015855,0,inbound,0,diluted_distant
0x4958deaf528d,sanctioned_address,0.019385,5,0.115337,0,outbound,0,diluted_distant
0xc09c3712f2d1,merchant_processor,0.0,,0.363282,0,outbound,0,benign_category
0x2b7f98a21f1c,sanctioned_address,0.008804,5,0.052384,0,inbound,0,diluted_distant
0xd918a974d079,mixer,0.0,3,0.701969,1,outbound,0,broken_intermediary
0xb0ba1d2324e6,ransomware,0.001946,6,0.017407,0,outbound,0,diluted_distant
0x1c0c996d5c50,high_risk_exchange,0.168977,2,0.57475,0,inbound,0,ambiguous_residual
0x82d3c3a00c6f,mining_pool,0.0,,0.645215,0,outbound,0,benign_category
0x24e75aaab32f,licensed_exchange,0.0,,0.850834,0,outbound,0,benign_category
0xa049dcb33df3,ransomware,0.002288,6,0.020473,0,outbound,0,diluted_distant
0x57ff532401fc,high_risk_exchange,0.118871,2,0.404322,0,outbound,0,ambiguous_residual
0x3633d8302081,sanctioned_address,0.0,3,0.509971,1,inbound,0,broken_intermediary
0x717156ea57b3,licensed_exchange,0.0,,0.471789,0,outbound,0,benign_category
0xb3c35970a859,defi_bluechip,0.0,,0.81084,0,inbound,0,benign_category
0x2694a7cf705c,ransomware,0.009684,1,0.014562,0,inbound,0,de_minimis
0xa57b9fe0a8c7,mining_pool,0.0,,0.351877,0,outbound,0,benign_category
0xb4310e614bcd,sanctioned_address,0.0,3,0.49714,1,inbound,0,broken_intermediary
0x2749497de16d,ransomware,0.008063,1,0.012125,0,inbound,0,de_minimis
0xe6430a8076ec,mixer,0.0,3,0.829076,1,inbound,0,broken_intermediary
0x34fe73557b9d,defi_bluechip,0.0,,0.68671,0,outbound,0,benign_category
0xba5028a39779,darknet_market,0.0,3,0.657877,1,outbound,0,broken_intermediary
0x21bf55ab946d,darknet_market,0.008029,6,0.071835,0,outbound,0,diluted_distant
0x4cfddf8f4197,darknet_market,0.012438,6,0.111282,0,outbound,0,diluted_distant
0x420564575bc4,darknet_market,0.0,3,0.737039,1,inbound,0,broken_intermediary
0x2fd986c1b6cb,merchant_processor,0.0,,0.932909,0,outbound,0,benign_category
0xf8f8c422d03e,licensed_exchange,0.0,,0.80201,0,inbound,0,benign_category
0x4efa6070b6a1,mixer,0.001876,6,0.017337,0,inbound,0,diluted_distant
0x799db836c448,ransomware,0.013136,5,0.082269,0,outbound,0,diluted_distant
0x6356d5c9fdc7,ransomware,0.006958,1,0.010464,0,outbound,0,de_minimis
0xd65a87079ad4,mixer,0.001914,6,0.017687,0,inbound,0,diluted_distant
0x3486ef2ddcc4,darknet_market,0.011154,6,0.099797,0,inbound,0,diluted_distant
0x2ef56ffe33b3,high_risk_exchange,0.182319,2,0.620133,0,inbound,0,ambiguous_residual
0x1b446a36af18,licensed_exchange,0.0,,0.460482,0,outbound,0,benign_category
0x467325637cc3,mixer,0.004553,6,0.042061,0,inbound,0,diluted_distant
0x09ba144823f7,mining_pool,0.0,,0.87166,0,outbound,0,benign_category
0x9a303cd5fd7f,ransomware,0.544532,1,0.818846,0,inbound,1,
0xffe9e7b7b4c6,mixer,0.005202,1,0.008078,0,inbound,0,de_minimis
0x7b2b5a5226e6,darknet_market,0.025096,5,0.157176,0,outbound,0,diluted_distant
0xc7e90534a101,darknet_market,0.400055,2,0.85941,0,outbound,1,
0xb089114b9547,darknet_market,0.003902,1,0.005868,0,inbound,0,de_minimis
0x59a5a48e40f1,mixer,0.0,3,0.736007,1,outbound,0,broken_intermediary
0x12ef752a7d25,sanctioned_address,0.012334,6,0.104835,0,outbound,0,diluted_distant
0xcbe483f02dc7,mixer,0.003767,6,0.034803,0,outbound,0,diluted_distant
0x1879c7e53bbb,ransomware,0.008326,6,0.074492,0,outbound,0,diluted_distant
0xad9662fb26d7,darknet_market,0.010119,1,0.015216,0,inbound,0,de_minimis
0xd958ba220065,high_risk_exchange,0.125165,2,0.425733,0,inbound,0,ambiguous_residual
0xa4754b3446bc,darknet_market,0.006381,6,0.057089,0,inbound,0,diluted_distant
0x55526d15f16f,merchant_processor,0.0,,0.855624,0,outbound,0,benign_category
0x1d5ef2a9dc8a,mixer,0.0,3,0.825815,1,inbound,0,broken_intermediary
0xe058c8040fb7,merchant_processor,0.0,,0.538755,0,inbound,0,benign_category
0x10949136f1f8,high_risk_exchange,0.138744,2,0.471917,0,inbound,0,ambiguous_residual
0x275dc359810a,darknet_market,0.0,3,0.443153,1,inbound,0,broken_intermediary
0x0d441d0af7f7,sanctioned_address,0.0,3,0.448477,1,inbound,0,broken_intermediary
0x6ddc723ef466,high_risk_exchange,0.126531,2,0.430378,0,outbound,0,ambiguous_residual
0xe77212f5131a,sanctioned_address,0.0,3,0.735405,1,inbound,0,broken_intermediary
0xa3a1fc902838,darknet_market,0.010958,1,0.016479,0,outbound,0,de_minimis
0x50a4d9f2dd0d,sanctioned_address,0.012454,1,0.017792,0,inbound,0,de_minimis
0x471acac4d0eb,merchant_processor,0.0,,0.776657,0,inbound,0,benign_category
0x42718d38bbd8,ransomware,0.0,3,0.574735,1,inbound,0,broken_intermediary
0xd1a1c4e7f7dd,sanctioned_address,0.0,3,0.536364,1,inbound,0,broken_intermediary
0x41b558321ee4,licensed_exchange,0.0,,0.781336,0,inbound,0,benign_category
0x544d4ddb1b36,darknet_market,0.010037,6,0.089802,0,inbound,0,diluted_distant
0x64814027ab7d,sanctioned_address,0.0,3,0.56283,1,outbound,0,broken_intermediary
0x57a727794685,sanctioned_address,0.003596,1,0.005137,0,outbound,0,de_minimis
0xd54a92779574,darknet_market,0.008636,1,0.012987,0,inbound,0,de_minimis
0xf7444d560a3d,darknet_market,0.002075,6,0.018569,0,inbound,0,diluted_distant
0x50ef0f5675f8,darknet_market,0.0,3,0.617741,1,outbound,0,broken_intermediary
0xa37db7e6a14c,merchant_processor,0.0,,0.505458,0,outbound,0,benign_category
0x7bc551b1943c,mixer,0.0,3,0.379823,1,outbound,0,broken_intermediary
0xd6159d896047,high_risk_exchange,0.172698,2,0.587409,0,inbound,0,ambiguous_residual
0xa01cb89bdf7f,ransomware,0.007303,1,0.010983,0,inbound,0,de_minimis
0xfea74efc8248,ransomware,0.0,3,0.835023,1,inbound,0,broken_intermediary
0x18e95a575539,ransomware,0.00532,1,0.008,0,inbound,0,de_minimis
0xdca21b84edc3,ransomware,0.001945,6,0.0174,0,inbound,0,diluted_distant
0x63a98fd33afc,mining_pool,0.0,,0.339926,0,outbound,0,benign_category
0x41e01e6a6628,darknet_market,0.008507,6,0.076113,0,inbound,0,diluted_distant
0xcd828255da61,darknet_market,0.367304,2,0.789053,0,inbound,1,
0xa7eb23c8afdb,high_risk_exchange,0.166735,2,0.567126,0,outbound,0,ambiguous_residual
0xfacd88476c56,merchant_processor,0.0,,0.260136,0,outbound,0,benign_category
0x0da4a1173719,mixer,0.00908,1,0.0141,0,outbound,0,de_minimis
0xf5fd9561c813,ransomware,0.02066,5,0.129398,0,inbound,0,diluted_distant
0x102a3e00980e,ransomware,0.0,3,0.401715,1,inbound,0,broken_intermediary
0x6864b0c4a01c,ransomware,0.010786,1,0.016219,0,outbound,0,de_minimis
0xf4eda987b218,merchant_processor,0.0,,0.379504,0,outbound,0,benign_category
0x875ab17cfb21,merchant_processor,0.0,,0.92952,0,outbound,0,benign_category
0x9860fb756923,ransomware,0.005007,6,0.044803,0,outbound,0,diluted_distant
0x8c02b8beff3d,ransomware,0.009551,6,0.085454,0,outbound,0,diluted_distant
0x4afecdfb4db9,stolen_funds,0.156452,3,0.518328,0,outbound,1,
0x834ca7edc8d8,darknet_market,0.002407,6,0.021533,0,outbound,0,diluted_distant
0x7a83963a8617,stolen_funds,0.161265,2,0.373991,0,inbound,1,
0xa91c69ce1e4e,sanctioned_address,0.011163,5,0.066421,0,outbound,0,diluted_distant
0xf38ee0decc3d,darknet_market,0.003341,6,0.02989,0,outbound,0,diluted_distant
0x2dcdc4cb294f,sanctioned_address,0.011376,5,0.067685,0,inbound,0,diluted_distant
0x5a00d66d4627,ransomware,0.0,3,0.416127,1,inbound,0,broken_intermediary
0x04be0997623a,merchant_processor,0.0,,0.576115,0,outbound,0,benign_category
0xfce28639bd41,mixer,0.0,3,0.734368,1,inbound,0,broken_intermediary
0x533254a7b69b,sanctioned_address,0.009562,6,0.081276,0,outbound,0,diluted_distant
0x62e6c1dd484a,ransomware,0.010359,1,0.015578,0,inbound,0,de_minimis
0xa7e683e96ef4,defi_bluechip,0.0,,0.508741,0,inbound,0,benign_category
0x037f3f800385,darknet_market,0.0,3,0.826637,1,outbound,0,broken_intermediary
0x85ea02ed73ce,licensed_exchange,0.0,,0.50039,0,outbound,0,benign_category
0xbc2e4b87959f,defi_bluechip,0.0,,0.742539,0,inbound,0,benign_category
0xbf4b9b11b530,high_risk_exchange,0.168175,2,0.572025,0,outbound,0,ambiguous_residual
0x6fd3d35ac07a,sanctioned_address,0.00795,1,0.011357,0,inbound,0,de_minimis
0x27fd5c9deee0,mixer,0.007739,1,0.012018,0,inbound,0,de_minimis
0x543e265cb9d9,mixer,0.0,3,0.679684,1,outbound,0,broken_intermediary
0x2e8f7d23d479,ransomware,0.0,3,0.53975,1,outbound,0,broken_intermediary
0x9dc8ce920136,mixer,0.005286,5,0.034185,0,inbound,0,diluted_distant
0x1ed9fe7ee362,darknet_market,0.0,3,0.516268,1,inbound,0,broken_intermediary
0x4556c4db5a62,high_risk_exchange,0.144363,2,0.491032,0,outbound,0,ambiguous_residual
0xc05460a399d4,mixer,0.002234,6,0.020636,0,inbound,0,diluted_distant
0x7204fa8dae42,high_risk_exchange,0.145438,2,0.494688,0,inbound,0,ambiguous_residual
0x7eb93acb43a3,licensed_exchange,0.0,,0.883317,0,outbound,0,benign_category
0x7b3804015ced,ransomware,0.008225,1,0.012369,0,inbound,0,de_minimis
0x7d4d0c760d28,defi_bluechip,0.0,,0.649047,0,inbound,0,benign_category
0x941afe54ee4b,darknet_market,0.003006,6,0.026899,0,inbound,0,diluted_distant
0x4959e0527739,defi_bluechip,0.0,,0.587559,0,inbound,0,benign_category
0xfdc28e4c3ab5,high_risk_exchange,0.161361,2,0.548846,0,inbound,0,ambiguous_residual
0xd1076a944054,mining_pool,0.0,,0.897269,0,inbound,0,benign_category
0x49e8b523c0de,ransomware,0.007848,1,0.011802,0,outbound,0,de_minimis
0xc6de2253e706,sanctioned_address,0.0,3,0.805802,1,inbound,0,broken_intermediary
0xbdfdd8ddbbc0,sanctioned_address,0.004271,6,0.036305,0,inbound,0,diluted_distant
0x605612a1fe7d,darknet_market,0.01221,6,0.109242,0,inbound,0,diluted_distant
0x6c7203ece8ff,mining_pool,0.0,,0.843469,0,inbound,0,benign_category
0x68b5b42a2d93,darknet_market,0.006204,1,0.009329,0,outbound,0,de_minimis
0x9de95bf86f3c,high_risk_exchange,0.145662,2,0.495448,0,outbound,0,ambiguous_residual
0xf061b8f0188e,ransomware,0.0,3,0.360076,1,outbound,0,broken_intermediary
0x714add34aa18,ransomware,0.31753,2,0.682127,0,inbound,1,
0x75c554720d2d,merchant_processor,0.0,,0.751995,0,outbound,0,benign_category
0xfb2fbd5609c4,mixer,0.017136,5,0.110826,0,outbound,0,diluted_distant
0x5e3b7d024c6d,sanctioned_address,0.019935,5,0.118611,0,inbound,0,diluted_distant
0x46656992896e,defi_bluechip,0.0,,0.438289,0,inbound,0,benign_category
0xf766e9aa144b,ransomware,0.533891,1,0.802843,0,outbound,1,
0x8caab8e19f56,fraud_proceeds,0.128898,3,0.469744,0,outbound,1,
0x5bc8e8e6e840,mixer,0.004306,1,0.006687,0,inbound,0,de_minimis
0x813c86c5d1d6,darknet_market,0.0,3,0.830119,1,outbound,0,broken_intermediary
0x73a3b27e1442,sanctioned_address,0.011132,5,0.066235,0,outbound,0,diluted_distant
0x1cbb79db7862,mining_pool,0.0,,0.668847,0,inbound,0,benign_category
0x75a30ae4ac11,ransomware,0.001951,6,0.017454,0,inbound,0,diluted_distant
0x8f8decf32053,sanctioned_address,0.015078,5,0.089714,0,inbound,0,diluted_distant
0x993a13b22cec,ransomware,0.008963,1,0.013478,0,inbound,0,de_minimis
0xa9d88a624cbd,licensed_exchange,0.0,,0.638077,0,outbound,0,benign_category
0x1b7e588a3f87,darknet_market,0.012464,6,0.111518,0,inbound,0,diluted_distant
0x0f2b538d6b8c,mixer,0.0,3,0.491081,1,outbound,0,broken_intermediary
0xc037f0eebcce,ransomware,0.003458,1,0.0052,0,outbound,0,de_minimis
0x973b9e5d9c7a,defi_bluechip,0.0,,0.720949,0,inbound,0,benign_category
0x4efda247541d,licensed_exchange,0.0,,0.571018,0,outbound,0,benign_category
0x8a1ec2e79a98,mining_pool,0.0,,0.500867,0,inbound,0,benign_category
0x34e268759545,darknet_market,0.010701,1,0.016092,0,inbound,0,de_minimis
0x956d0328c136,defi_bluechip,0.0,,0.478921,0,outbound,0,benign_category
0xc2efaf70de70,ransomware,0.0,3,0.399475,1,inbound,0,broken_intermediary
0xde8d2ace1aa9,sanctioned_address,0.006339,1,0.009056,0,outbound,0,de_minimis
0x7e41f1b88d65,licensed_exchange,0.0,,0.70663,0,outbound,0,benign_category
0xca98f2e61828,darknet_market,0.0,3,0.531551,1,outbound,0,broken_intermediary
0x45b2982a2277,high_risk_exchange,0.126578,2,0.430537,0,outbound,0,ambiguous_residual
0x5af3506e50c7,ransomware,0.0,3,0.835739,1,outbound,0,broken_intermediary
0x7c1fc82f78fd,ransomware,0.002281,6,0.020413,0,outbound,0,diluted_distant
0x664c905881df,ransomware,0.011439,1,0.017202,0,inbound,0,de_minimis
0xe07d35ab8466,mining_pool,0.0,,0.465045,0,outbound,0,benign_category
0x9b0ca2224f96,mining_pool,0.0,,0.391736,0,inbound,0,benign_category
0xd62bb113d50b,sanctioned_address,0.0,3,0.384784,1,inbound,0,broken_intermediary
0xb5c3aa2960fd,mining_pool,0.0,,0.879846,0,inbound,0,benign_category
0x363e6e3255a8,defi_bluechip,0.0,,0.534276,0,inbound,0,benign_category
0xb09f2697384d,sanctioned_address,0.0,3,0.387448,1,inbound,0,broken_intermediary
0xb2582444d301,ransomware,0.004971,6,0.044475,0,outbound,0,diluted_distant
0xe7a7b25f13df,licensed_exchange,0.0,,0.897213,0,outbound,0,benign_category
0x37fea5e15b55,mixer,0.008997,5,0.058189,0,inbound,0,diluted_distant
0x76b576492e64,mining_pool,0.0,,0.372365,0,outbound,0,benign_category
0xe62e3283daa4,mixer,0.008198,6,0.075743,0,outbound,0,diluted_distant
0xbb492fdc9992,mining_pool,0.0,,0.82548,0,outbound,0,benign_category
0xb2231d3e503a,darknet_market,0.011213,1,0.016862,0,outbound,0,de_minimis
